gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH3/1000050102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000050102?gameHash=8b666ed5b8ae0522,EU CS,2014,Spring,0,2014-02-14 20:34:24,1,,1,Blue,top,Zorozero,Ninjas in Pyjamas,Dr. Mundo,Lee Sin,Elise,Zed,,,4062,0,2,3,16,22,23,0,0,0,0,0,0,0,0,0.325,0.6647,,,,,,,,,,,,,,,,,,,,,,,,1,0,52043,768.7297,0.229074,19,0.2806,3,0.0443,0,0,0,22378,14356,212.0532,0.207793,16790,,405,398,7,3,4,5.9823,2983,4332,79,3000,4463,77,-17,-131,2,4328,6727,119,4793,7132,126,-465,-405,-7
TRLH3/1000050102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000050102?gameHash=8b666ed5b8ae0522,EU CS,2014,Spring,0,2014-02-14 20:34:24,1,,2,Blue,jng,Shacker,Ninjas in Pyjamas,Wukong,Lee Sin,Elise,Zed,,,4062,0,0,9,9,22,23,0,0,0,0,0,0,0,0,0.325,0.6647,,,,,,,,,,,,,,,,,,,,,,,,0,1,15477,228.6115,0.0681239,26,0.384,2,0.0295,4,0,0,16906,8884,131.226,0.128591,13550,,192,88,104,93,11,2.836,2305,2917,35,2696,3578,38,-391,-661,-3,3226,4817,53,4115,6110,63,-889,-1293,-10
TRLH3/1000050102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000050102?gameHash=8b666ed5b8ae0522,EU CS,2014,Spring,0,2014-02-14 20:34:24,1,,3,Blue,mid,Nukeduck,Ninjas in Pyjamas,Lulu,Lee Sin,Elise,Zed,,,4062,0,10,3,8,22,23,1,1,1,0,0,0,0,0,0.325,0.6647,,,,,,,,,,,,,,,,,,,,,,,,1,2,64980,959.8227,0.286017,16,0.2363,6,0.0886,0,0,0,25525,17503,258.5377,0.253343,14355,,476,452,24,22,2,7.031,3166,4939,88,3026,4847,84,140,92,4,4716,7928,138,4299,7506,123,417,422,15
TRLH3/1000050102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000050102?gameHash=8b666ed5b8ae0522,EU CS,2014,Spring,0,2014-02-14 20:34:24,1,,4,Blue,bot,Freeze,Ninjas in Pyjamas,Jinx,Lee Sin,Elise,Zed,,,4062,0,10,3,8,22,23,2,0,0,0,1,1,0,0,0.325,0.6647,,,,,,,,,,,,,,,,,,,,,,,,0,2,78144,1154.2688,0.34396,2,0.0295,18,0.2659,0,0,0,28513,20491,302.6736,0.296591,17815,,591,517,74,65,9,8.7297,3344,3014,74,3024,3130,71,320,-116,3,4955,5166,128,4603,4949,110,352,217,18
TRLH3/1000050102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000050102?gameHash=8b666ed5b8ae0522,EU CS,2014,Spring,0,2014-02-14 20:34:24,1,,5,Blue,sup,Mithy,Ninjas in Pyjamas,Thresh,Lee Sin,Elise,Zed,,,4062,0,0,5,17,22,23,0,0,0,0,1,0,1,0,0.325,0.6647,,,,,,,,,,,,,,,,,,,,,,,,1,0,16545,244.387,0.0728248,74,1.0931,6,0.0886,10,0,0,15876,7854,116.0118,0.113682,11360,,30,30,0,0,0,0.4431,2059,3040,9,2093,2950,9,-34,90,0,2869,4618,12,2929,4710,18,-60,-92,-6
TRLH3/1000050102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000050102?gameHash=8b666ed5b8ae0522,EU CS,2014,Spring,0,2014-02-14 20:34:24,1,,6,Red,top,Odoamne,Cloud9 Eclipse,Trundle,Kassadin,Renekton,LeBlanc,,,4062,1,4,4,14,23,22,0,0,0,0,0,0,0,0,0.3397,0.6647,,,,,,,,,,,,,,,,,,,,,,,,0,1,31733,468.7297,0.161249,19,0.2806,2,0.0295,0,0,0,20752,12730,188.0355,0.183827,12570,,325,302,23,21,2,4.8006,3000,4463,77,2983,4332,79,17,131,-2,4793,7132,126,4328,6727,119,465,405,7
TRLH3/1000050102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000050102?gameHash=8b666ed5b8ae0522,EU CS,2014,Spring,0,2014-02-14 20:34:24,1,,7,Red,jng,k0u,Cloud9 Eclipse,Kha'Zix,Kassadin,Renekton,LeBlanc,,,4062,1,7,5,9,23,22,0,0,0,0,0,0,0,0,0.3397,0.6647,,,,,,,,,,,,,,,,,,,,,,,,1,0,34828,514.4461,0.176976,17,0.2511,11,0.1625,4,0,0,21143,13121,193.8109,0.189473,19090,,224,109,115,104,11,3.3087,2696,3578,38,2305,2917,35,391,661,3,4115,6110,63,3226,4817,53,889,1293,10
TRLH3/1000050102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000050102?gameHash=8b666ed5b8ae0522,EU CS,2014,Spring,0,2014-02-14 20:34:24,1,,8,Red,mid,FEBIVEN,Cloud9 Eclipse,Kayle,Kassadin,Renekton,LeBlanc,,,4062,1,4,5,9,23,22,1,0,0,0,0,0,0,0,0.3397,0.6647,,,,,,,,,,,,,,,,,,,,,,,,2,1,48730,719.7932,0.247618,14,0.2068,5,0.0739,2,0,0,24692,16670,246.2334,0.240721,18000,,496,402,94,77,17,7.3264,3026,4847,84,3166,4939,88,-140,-92,-4,4299,7506,123,4716,7928,138,-417,-422,-15
TRLH3/1000050102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000050102?gameHash=8b666ed5b8ae0522,EU CS,2014,Spring,0,2014-02-14 20:34:24,1,,9,Red,bot,Hjarnan,Cloud9 Eclipse,Lucian,Kassadin,Renekton,LeBlanc,,,4062,1,7,5,12,23,22,1,0,0,0,0,0,0,1,0.3397,0.6647,,,,,,,,,,,,,,,,,,,,,,,,2,0,57668,851.8168,0.293036,15,0.2216,4,0.0591,0,0,0,27231,19209,283.7371,0.277385,17283,,501,420,81,63,18,7.4003,3024,3130,71,3344,3014,74,-320,116,-3,4603,4949,110,4955,5166,128,-352,-217,-18
TRLH3/1000050102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000050102?gameHash=8b666ed5b8ae0522,EU CS,2014,Spring,0,2014-02-14 20:34:24,1,,10,Red,sup,Voidle,Cloud9 Eclipse,Annie,Kassadin,Renekton,LeBlanc,,,4062,1,1,3,15,23,22,0,0,0,0,0,0,0,0,0.3397,0.6647,,,,,,,,,,,,,,,,,,,,,,,,0,1,23836,352.0827,0.121121,84,1.2408,7,0.1034,3,0,0,15542,7520,111.0783,0.108593,11455,,73,73,0,0,0,1.0783,2093,2950,9,2059,3040,9,34,-90,0,2929,4710,18,2869,4618,12,60,92,6
