gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
FRA1TMNT1/170119,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170119?gameHash=d5dde5557af1adaa,EU CS,2014,Spring,1,2014-04-01 20:45:51,1,4.04,1,Blue,top,Ippon,Denial eSports.Europe,Shyvana,Draven,Renekton,Evelynn,,,1589,1,2,2,0,12,4,0,0,0,0,0,0,0,0,0.4531,0.6042,,,,,,,,,,,,,,,,,,,,,,,,0,0,5918,223.4613,0.141295,7,0.2643,3,0.1133,0,0,0,9805,6482,244.7577,0.22609,9630,,222,200,22,18,4,8.3826,2672,3926,62,2473,2774,41,199,1152,21,4487,6871,108,3489,4474,62,998,2397,46
FRA1TMNT1/170119,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170119?gameHash=d5dde5557af1adaa,EU CS,2014,Spring,1,2014-04-01 20:45:51,1,4.04,2,Blue,jng,Kikis,Denial eSports.Europe,Kha'Zix,Draven,Renekton,Evelynn,,,1589,1,7,0,2,12,4,2,1,0,0,1,1,0,0,0.4531,0.6042,,,,,,,,,,,,,,,,,,,,,,,,0,0,12419,468.9364,0.296509,12,0.4531,3,0.1133,2,0,0,9571,6248,235.922,0.217928,10449,,92,24,68,60,8,3.4739,2541,2816,33,2450,2786,37,91,30,-4,4654,5608,52,3600,5123,62,1054,485,-10
FRA1TMNT1/170119,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170119?gameHash=d5dde5557af1adaa,EU CS,2014,Spring,1,2014-04-01 20:45:51,1,4.04,3,Blue,mid,niQ,Denial eSports.Europe,Kayle,Draven,Renekton,Evelynn,,,1589,1,1,0,5,12,4,0,0,0,0,1,0,1,0,0.4531,0.6042,,,,,,,,,,,,,,,,,,,,,,,,0,0,9532,359.9245,0.227581,7,0.2643,3,0.1133,0,0,0,10348,7025,265.2612,0.24503,8410,,257,220,37,34,3,9.7042,3016,4014,79,2711,3268,58,305,746,21,4597,6513,132,4003,5026,98,594,1487,34
FRA1TMNT1/170119,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170119?gameHash=d5dde5557af1adaa,EU CS,2014,Spring,1,2014-04-01 20:45:51,1,4.04,4,Blue,bot,Woolite,Denial eSports.Europe,Lucian,Draven,Renekton,Evelynn,,,1589,1,2,1,4,12,4,0,0,0,0,0,0,0,0,0.4531,0.6042,,,,,,,,,,,,,,,,,,,,,,,,1,0,11404,430.6104,0.272276,5,0.1888,2,0.0755,0,0,0,10041,6718,253.669,0.234322,9138,,220,210,10,6,4,8.3071,3170,3519,81,2925,3030,70,245,489,11,4849,6339,132,4412,4846,105,437,1493,27
FRA1TMNT1/170119,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170119?gameHash=d5dde5557af1adaa,EU CS,2014,Spring,1,2014-04-01 20:45:51,1,4.04,5,Blue,sup,unknown player,Denial eSports.Europe,Thresh,Draven,Renekton,Evelynn,,,1589,1,0,1,7,12,4,0,0,0,0,1,0,1,0,0.4531,0.6042,,,,,,,,,,,,,,,,,,,,,,,,0,0,2611,98.5903,0.0623388,27,1.0195,4,0.151,3,0,0,5520,2197,82.9578,0.0766285,4235,,7,7,0,0,0,0.2643,1643,1859,0,2169,1326,2,-526,533,-2,2319,3267,0,3179,3204,12,-860,63,-12
FRA1TMNT1/170119,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170119?gameHash=d5dde5557af1adaa,EU CS,2014,Spring,1,2014-04-01 20:45:51,1,4.04,6,Red,top,vANEZ,Team Coast Gold,Ryze,Ziggs,Lulu,Nidalee,,,1589,0,0,2,1,4,13,0,0,0,0,0,0,0,0,0.151,0.6042,,,,,,,,,,,,,,,,,,,,,,,,0,0,8443,318.8043,0.217345,12,0.4531,0,0,2,0,0,7391,4068,153.606,0.194939,7230,,138,119,19,18,1,5.2108,2473,2774,41,2672,3926,62,-199,-1152,-21,3489,4474,62,4487,6871,108,-998,-2397,-46
FRA1TMNT1/170119,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170119?gameHash=d5dde5557af1adaa,EU CS,2014,Spring,1,2014-04-01 20:45:51,1,4.04,7,Red,jng,Airwaks,Team Coast Gold,Lee Sin,Ziggs,Lulu,Nidalee,,,1589,0,1,2,0,4,13,0,0,0,0,0,0,0,1,0.151,0.6042,,,,,,,,,,,,,,,,,,,,,,,,0,0,3299,124.5689,0.0849251,21,0.793,2,0.0755,2,0,0,6924,3601,135.9723,0.17256,6295,,88,22,66,57,9,3.3228,2450,2786,37,2541,2816,33,-91,-30,4,3600,5123,62,4654,5608,52,-1054,-485,10
FRA1TMNT1/170119,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170119?gameHash=d5dde5557af1adaa,EU CS,2014,Spring,1,2014-04-01 20:45:51,1,4.04,8,Red,mid,bebe,Team Coast Gold,Gragas,Ziggs,Lulu,Nidalee,,,1589,0,0,2,1,4,13,0,0,0,0,0,0,0,0,0.151,0.6042,,,,,,,,,,,,,,,,,,,,,,,,0,0,10250,387.0359,0.263862,9,0.3398,0,0,0,0,0,7638,4315,162.9327,0.206776,7010,,184,172,12,12,0,6.9478,2711,3268,58,3016,4014,79,-305,-746,-21,4003,5026,98,4597,6513,132,-594,-1487,-34
FRA1TMNT1/170119,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170119?gameHash=d5dde5557af1adaa,EU CS,2014,Spring,1,2014-04-01 20:45:51,1,4.04,9,Red,bot,Ritix,Team Coast Gold,Caitlyn,Ziggs,Lulu,Nidalee,,,1589,0,3,3,0,4,13,0,0,0,0,0,0,0,0,0.151,0.6042,,,,,,,,,,,,,,,,,,,,,,,,0,1,9887,373.3291,0.254518,3,0.1133,2,0.0755,0,0,0,9309,5986,226.0289,0.286853,8955,,221,208,13,12,1,8.3449,2925,3030,70,3170,3519,81,-245,-489,-11,4412,4846,105,4849,6339,132,-437,-1493,-27
FRA1TMNT1/170119,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/170119?gameHash=d5dde5557af1adaa,EU CS,2014,Spring,1,2014-04-01 20:45:51,1,4.04,10,Red,sup,masterwork,Team Coast Gold,Karma,Ziggs,Lulu,Nidalee,,,1589,0,0,4,2,4,13,0,0,0,0,0,0,0,0,0.151,0.6042,,,,,,,,,,,,,,,,,,,,,,,,0,0,6967,263.0711,0.179349,24,0.9062,5,0.1888,4,0,0,6221,2898,109.4273,0.138871,5975,,23,22,1,1,0,0.8685,2169,1326,2,1643,1859,0,526,-533,2,3179,3204,12,2319,3267,0,860,-63,12
