gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
FRA1TMNT1/250017,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250017?gameHash=8e140c8601360a81,EU CS,2014,Summer,0,2014-05-29 20:16:01,1,4.08,1,Blue,top,Alex Ich,Ninjas in Pyjamas,Orianna,Syndra,Thresh,Lucian,,,1864,1,5,0,5,23,7,0,0,0,0,0,0,0,0,0.7403,0.9657,,,,,,,,,,,,,,,,,,,,,,,,0,0,15416,496.2232,0.216435,12,0.3863,1,0.0322,0,0,0,12778,8932,287.5107,0.21736,10780,,275,232,43,39,4,8.8519,2989,4299,82,2965,4177,84,24,122,-2,5020,7124,129,4422,6357,122,598,767,7
FRA1TMNT1/250017,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250017?gameHash=8e140c8601360a81,EU CS,2014,Summer,0,2014-05-29 20:16:01,1,4.08,2,Blue,jng,k0u,Ninjas in Pyjamas,Lee Sin,Syndra,Thresh,Lucian,,,1864,1,2,3,8,23,7,0,0,0,0,1,0,1,0,0.7403,0.9657,,,,,,,,,,,,,,,,,,,,,,,,1,0,10308,331.8026,0.14472,24,0.7725,0,0,1,0,0,9264,5418,174.3991,0.131851,8857,,84,22,62,40,22,2.7039,2584,3615,35,2043,2727,27,541,888,8,3999,5588,45,3063,3347,33,936,2241,12
FRA1TMNT1/250017,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250017?gameHash=8e140c8601360a81,EU CS,2014,Summer,0,2014-05-29 20:16:01,1,4.08,3,Blue,mid,Nukeduck,Ninjas in Pyjamas,Yasuo,Syndra,Thresh,Lucian,,,1864,1,7,0,5,23,7,1,0,0,0,0,0,0,0,0.7403,0.9657,,,,,,,,,,,,,,,,,,,,,,,,0,0,21804,701.8455,0.30612,18,0.5794,4,0.1288,0,0,0,14589,10743,345.8047,0.261428,11380,,308,286,22,17,5,9.9142,2761,4265,70,3225,4666,98,-464,-401,-28,4406,6482,116,4968,7053,136,-562,-571,-20
FRA1TMNT1/250017,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250017?gameHash=8e140c8601360a81,EU CS,2014,Summer,0,2014-05-29 20:16:01,1,4.08,4,Blue,bot,Freeze,Ninjas in Pyjamas,Twitch,Syndra,Thresh,Lucian,,,1864,1,8,2,6,23,7,0,0,0,0,1,1,0,0,0.7403,0.9657,,,,,,,,,,,,,,,,,,,,,,,,0,0,17993,579.1738,0.252615,7,0.2253,5,0.1609,0,0,0,13513,9667,311.1695,0.235245,14180,,265,246,19,19,0,8.53,3288,3010,79,2483,2748,59,805,262,20,5369,5005,123,4850,4775,97,519,230,26
FRA1TMNT1/250017,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250017?gameHash=8e140c8601360a81,EU CS,2014,Summer,0,2014-05-29 20:16:01,1,4.08,5,Blue,sup,Mithy,Ninjas in Pyjamas,Nami,Syndra,Thresh,Lucian,,,1864,1,1,2,18,23,7,0,0,0,0,1,0,1,0,0.7403,0.9657,,,,,,,,,,,,,,,,,,,,,,,,0,0,5706,183.6695,0.0801101,27,0.8691,4,0.1288,2,0,0,10179,6333,203.8519,0.154116,7230,,11,11,0,0,0,0.3541,2223,2545,2,1948,2376,4,275,169,-2,3828,4482,6,3231,4498,8,597,-16,-2
FRA1TMNT1/250017,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250017?gameHash=8e140c8601360a81,EU CS,2014,Summer,0,2014-05-29 20:16:01,1,4.08,6,Red,top,Vizicsacsi,Unicorns Of Love,Shyvana,Kassadin,Lulu,Kayle,,,1864,0,0,3,2,7,23,0,0,0,0,0,0,0,0,0.2253,0.9657,,,,,,,,,,,,,,,,,,,,,,,,0,0,12529,403.294,0.224586,11,0.3541,7,0.2253,1,0,0,9947,6101,196.3841,0.233011,11040,,266,252,14,14,0,8.5622,2965,4177,84,2989,4299,82,-24,-122,2,4422,6357,122,5020,7124,129,-598,-767,-7
FRA1TMNT1/250017,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250017?gameHash=8e140c8601360a81,EU CS,2014,Summer,0,2014-05-29 20:16:01,1,4.08,7,Red,jng,Sheepy,Unicorns Of Love,Elise,Kassadin,Lulu,Kayle,,,1864,0,0,8,4,7,23,0,0,0,0,0,0,0,0,0.2253,0.9657,,,,,,,,,,,,,,,,,,,,,,,,0,1,6489,208.8734,0.116317,14,0.4506,4,0.1288,3,0,0,7139,3293,105.9979,0.125774,7505,,67,10,57,48,9,2.1567,2043,2727,27,2584,3615,35,-541,-888,-8,3063,3347,33,3999,5588,45,-936,-2241,-12
FRA1TMNT1/250017,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250017?gameHash=8e140c8601360a81,EU CS,2014,Summer,0,2014-05-29 20:16:01,1,4.08,8,Red,mid,PowerOfEvil,Unicorns Of Love,Ziggs,Kassadin,Lulu,Kayle,,,1864,0,1,2,4,7,23,0,0,0,0,0,0,0,0,0.2253,0.9657,,,,,,,,,,,,,,,,,,,,,,,,0,0,14391,463.2296,0.257963,13,0.4185,4,0.1288,2,0,0,10918,7072,227.6395,0.270094,10740,,275,253,22,20,2,8.8519,3225,4666,98,2761,4265,70,464,401,28,4968,7053,136,4406,6482,116,562,571,20
FRA1TMNT1/250017,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250017?gameHash=8e140c8601360a81,EU CS,2014,Summer,0,2014-05-29 20:16:01,1,4.08,9,Red,bot,unknown player,Unicorns Of Love,Jinx,Kassadin,Lulu,Kayle,,,1864,0,6,4,1,7,23,1,0,0,0,0,0,0,0,0.2253,0.9657,,,,,,,,,,,,,,,,,,,,,,,,0,0,12991,418.1652,0.232868,11,0.3541,4,0.1288,1,0,0,10531,6685,215.1824,0.255314,10280,,201,181,20,16,4,6.47,2483,2748,59,3288,3010,79,-805,-262,-20,4850,4775,97,5369,5005,123,-519,-230,-26
FRA1TMNT1/250017,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250017?gameHash=8e140c8601360a81,EU CS,2014,Summer,0,2014-05-29 20:16:01,1,4.08,10,Red,sup,Hylissang,Unicorns Of Love,Morgana,Kassadin,Lulu,Kayle,,,1864,0,0,6,5,7,23,0,0,0,0,0,0,0,1,0.2253,0.9657,,,,,,,,,,,,,,,,,,,,,,,,0,0,9387,302.1567,0.168265,26,0.8369,4,0.1288,4,0,0,6878,3032,97.5966,0.115807,6245,,12,10,2,2,0,0.3863,1948,2376,4,2223,2545,2,-275,-169,2,3231,4498,8,3828,4482,6,-597,16,2
FRA1TMNT1/250017,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250017?gameHash=8e140c8601360a81,EU CS,2014,Summer,0,2014-05-29 20:16:01,1,4.08,100,Blue,team,,Ninjas in Pyjamas,,Syndra,Thresh,Lucian,,,1864,1,23,7,42,23,7,1,0,0,0,1,,,,0.7403,0.9657,0,0,0,0,0,0,0,0,0,,0,0,,,,1,1,0,1,8,4,0,0,1,0,71227,2292.7146,,88,2.8326,14,0.4506,3,0,0,60323,41095,1322.8004,,52427,0.134715,,797,146,115,31,30.3541,13845,17734,268,12664,16694,272,1181,1040,-4,22622,28681,419,20534,26030,396,2088,2651,23
FRA1TMNT1/250017,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250017?gameHash=8e140c8601360a81,EU CS,2014,Summer,0,2014-05-29 20:16:01,1,4.08,200,Red,team,,Unicorns Of Love,,Kassadin,Lulu,Kayle,,,1864,0,7,23,16,7,23,1,0,0,0,0,,,,0.2253,0.9657,1,0,0,0,0,0,0,0,0,,0,0,,,,0,0,1,0,4,8,1,1,0,1,55787,1795.7189,,75,2.4142,23,0.7403,11,0,0,45413,26185,842.8648,,45810,-0.134715,,706,115,100,15,26.427,12664,16694,272,13845,17734,268,-1181,-1040,4,20534,26030,396,22622,28681,419,-2088,-2651,-23
FRA1TMNT1/250019,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250019?gameHash=055a679ac6c600f7,EU CS,2014,Summer,0,2014-05-29 21:29:06,2,4.08,1,Blue,top,Vizicsacsi,Unicorns Of Love,Jax,Kayle,Yasuo,Kassadin,,,2121,0,4,5,7,15,32,1,0,0,0,0,0,0,0,0.4243,1.3296,,,,,,,,,,,,,,,,,,,,,,,,0,0,20950,592.645,0.228772,11,0.3112,5,0.1414,2,0,0,12443,8109,229.3918,0.274843,13338,,254,248,6,4,2,7.1853,3056,4611,89,3062,4905,88,-6,-294,1,4923,7603,135,4986,7203,122,-63,400,13
FRA1TMNT1/250019,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250019?gameHash=055a679ac6c600f7,EU CS,2014,Summer,0,2014-05-29 21:29:06,2,4.08,2,Blue,jng,Sheepy,Unicorns Of Love,Kha'Zix,Kayle,Yasuo,Kassadin,,,2121,0,1,7,4,15,32,0,0,0,0,0,0,0,1,0.4243,1.3296,,,,,,,,,,,,,,,,,,,,,,,,0,0,9910,280.3395,0.108216,16,0.4526,1,0.0283,3,0,0,8227,3893,110.1273,0.131949,7962,,87,30,57,51,6,2.4611,2070,2602,29,2718,3886,44,-648,-1284,-15,3405,5078,47,4314,6292,63,-909,-1214,-16
