gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH3/1000350013,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000350013?gameHash=093de96e9f8e3a3d,EU CS,2014,Summer,1,2014-08-05 14:50:51,1,4.13,1,Blue,top,Jaeger,SK Gaming Prime,Riven,Orianna,Irelia,Kha'Zix,,,1218,1,8,0,2,18,3,2,1,1,0,0,0,0,0,0.8867,1.0345,,,,,,,,,,,,,,,,,,,,,,,,0,0,14628,720.5911,0.279539,7,0.3448,0,0,0,0,0,9212,6594,324.8276,0.263773,7187,,164,159,5,0,5,8.0788,3102,4677,82,2846,3811,66,256,866,16,4912,7547,136,4428,6674,120,484,873,16
TRLH3/1000350013,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000350013?gameHash=093de96e9f8e3a3d,EU CS,2014,Summer,1,2014-08-05 14:50:51,1,4.13,2,Blue,jng,Kikis,SK Gaming Prime,Rengar,Orianna,Irelia,Kha'Zix,,,1218,1,1,0,7,18,3,0,0,0,0,0,0,0,0,0.8867,1.0345,,,,,,,,,,,,,,,,,,,,,,,,0,0,4953,243.9901,0.0946511,10,0.4926,2,0.0985,1,0,0,6394,3776,186.0099,0.151044,5620,,71,14,57,52,5,3.4975,2426,3436,39,2459,3046,42,-33,390,-3,3837,5752,55,3565,5287,64,272,465,-9
TRLH3/1000350013,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000350013?gameHash=093de96e9f8e3a3d,EU CS,2014,Summer,1,2014-08-05 14:50:51,1,4.13,3,Blue,mid,unknown player,SK Gaming Prime,Syndra,Orianna,Irelia,Kha'Zix,,,1218,1,6,2,5,18,3,1,0,0,0,0,0,0,0,0.8867,1.0345,,,,,,,,,,,,,,,,,,,,,,,,0,0,14697,723.9901,0.280858,3,0.1478,1,0.0493,1,0,0,9127,6509,320.6404,0.260373,7405,,179,166,13,7,6,8.8177,3375,4902,85,2619,4119,58,756,783,27,5876,7835,140,4004,6172,101,1872,1663,39
TRLH3/1000350013,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000350013?gameHash=093de96e9f8e3a3d,EU CS,2014,Summer,1,2014-08-05 14:50:51,1,4.13,4,Blue,bot,Haydal,SK Gaming Prime,Lucian,Orianna,Irelia,Kha'Zix,,,1218,1,2,1,4,18,3,0,0,0,0,1,1,0,0,0.8867,1.0345,,,,,,,,,,,,,,,,,,,,,,,,1,0,12480,614.7783,0.238491,5,0.2463,0,0,0,0,0,7579,4961,244.3842,0.198448,6332,,144,142,2,2,0,7.0936,3234,2663,67,2873,2480,68,361,183,-1,4897,4628,108,4022,4254,97,875,374,11
TRLH3/1000350013,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000350013?gameHash=093de96e9f8e3a3d,EU CS,2014,Summer,1,2014-08-05 14:50:51,1,4.13,5,Blue,sup,Zytan,SK Gaming Prime,Thresh,Orianna,Irelia,Kha'Zix,,,1218,1,1,0,7,18,3,0,0,0,0,1,0,1,0,0.8867,1.0345,,,,,,,,,,,,,,,,,,,,,,,,0,0,5571,274.4335,0.106461,18,0.8867,1,0.0493,1,0,0,5777,3159,155.6158,0.126362,4685,,20,20,0,0,0,0.9852,2319,2722,11,2070,2739,13,249,-17,-2,3343,3818,15,2847,3382,20,496,436,-5
TRLH3/1000350013,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000350013?gameHash=093de96e9f8e3a3d,EU CS,2014,Summer,1,2014-08-05 14:50:51,1,4.13,6,Red,top,Jokieez,Reason Gaming,Maokai,Kassadin,Jarvan IV,Yasuo,,,1218,0,0,2,0,3,18,0,0,0,0,0,0,0,0,0.1478,1.0345,,,,,,,,,,,,,,,,,,,,,,,,0,0,5326,262.3645,0.21014,6,0.2956,0,0,0,0,0,5971,3353,165.1724,0.259907,5895,,156,154,2,2,0,7.6847,2846,3811,66,3102,4677,82,-256,-866,-16,4428,6674,120,4912,7547,136,-484,-873,-16
TRLH3/1000350013,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000350013?gameHash=093de96e9f8e3a3d,EU CS,2014,Summer,1,2014-08-05 14:50:51,1,4.13,7,Red,jng,Xayoo,Reason Gaming,Elise,Kassadin,Jarvan IV,Yasuo,,,1218,0,2,5,1,3,18,0,0,0,0,0,0,0,0,0.1478,1.0345,,,,,,,,,,,,,,,,,,,,,,,,0,0,4188,206.3054,0.16524,8,0.3941,1,0.0493,2,0,0,5448,2830,139.4089,0.219364,5350,,73,13,60,57,3,3.5961,2459,3046,42,2426,3436,39,33,-390,3,3565,5287,64,3837,5752,55,-272,-465,9
TRLH3/1000350013,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000350013?gameHash=093de96e9f8e3a3d,EU CS,2014,Summer,1,2014-08-05 14:50:51,1,4.13,8,Red,mid,Takefun,Reason Gaming,Ahri,Kassadin,Jarvan IV,Yasuo,,,1218,0,0,4,1,3,18,0,0,0,0,0,0,0,0,0.1478,1.0345,,,,,,,,,,,,,,,,,,,,,,,,0,0,5745,283.0049,0.226672,5,0.2463,0,0,0,0,0,5159,2541,125.1724,0.196961,4490,,114,114,0,0,0,5.6158,2619,4119,58,3375,4902,85,-756,-783,-27,4004,6172,101,5876,7835,140,-1872,-1663,-39
TRLH3/1000350013,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000350013?gameHash=093de96e9f8e3a3d,EU CS,2014,Summer,1,2014-08-05 14:50:51,1,4.13,9,Red,bot,Makler,Reason Gaming,Graves,Kassadin,Jarvan IV,Yasuo,,,1218,0,0,3,2,3,18,0,0,0,0,0,0,0,1,0.1478,1.0345,,,,,,,,,,,,,,,,,,,,,,,,0,1,6283,309.5074,0.247899,2,0.0985,1,0.0493,0,0,0,5376,2758,135.8621,0.213783,5180,,115,107,8,7,1,5.665,2873,2480,68,3234,2663,67,-361,-183,1,4022,4254,97,4897,4628,108,-875,-374,-11
TRLH3/1000350013,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000350013?gameHash=093de96e9f8e3a3d,EU CS,2014,Summer,1,2014-08-05 14:50:51,1,4.13,10,Red,sup,Libik,Reason Gaming,Leona,Kassadin,Jarvan IV,Yasuo,,,1218,0,1,4,0,3,18,0,0,0,0,0,0,0,0,0.1478,1.0345,,,,,,,,,,,,,,,,,,,,,,,,0,0,3803,187.3399,0.150049,18,0.8867,2,0.0985,4,0,0,4037,1419,69.9015,0.109984,3655,,21,21,0,0,0,1.0345,2070,2739,13,2319,2722,11,-249,17,2,2847,3382,20,3343,3818,15,-496,-436,5
