gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH3/33,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,Spring,0,2014-01-14 17:52:02,1,3.15,1,Blue,top,sOAZ,Fnatic,Trundle,Riven,Kha'Zix,Yasuo,,,1924,1,3,0,13,21,5,0,0,0,0,1,1,0,0,0.6549,0.8108,,,,,,,,,,,,,,,,,,,,,,,,0,0,12569,391.9647,0.170201,13,0.4054,0,0,0,0,0,11499,7539,235.104,0.19023,8920,,209,209,0,0,0,6.5177,3080,3907,57,3086,3994,57,-6,-87,0,4837,6615,110,4788,7175,111,49,-560,-1
TRLH3/33,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,Spring,0,2014-01-14 17:52:02,1,3.15,2,Blue,jng,Cyanide,Fnatic,Vi,Riven,Kha'Zix,Yasuo,,,1924,1,0,4,14,21,5,0,0,0,0,1,0,1,0,0.6549,0.8108,,,,,,,,,,,,,,,,,,,,,,,,1,0,7067,220.3846,0.0956966,12,0.3742,0,0,1,0,0,10113,6153,191.8815,0.15526,6780,,115,24,91,83,8,3.5863,2335,2732,32,3437,4157,59,-1102,-1425,-27,3869,6036,59,4976,6739,95,-1107,-703,-36
TRLH3/33,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,Spring,0,2014-01-14 17:52:02,1,3.15,3,Blue,mid,xPeke,Fnatic,Orianna,Riven,Kha'Zix,Yasuo,,,1924,1,10,1,7,21,5,4,1,0,0,1,0,1,0,0.6549,0.8108,,,,,,,,,,,,,,,,,,,,,,,,0,0,27699,863.7942,0.375081,12,0.3742,3,0.0936,0,0,0,14564,10604,330.6861,0.267565,8750,,276,247,29,26,3,8.6071,2817,4216,73,3142,4303,68,-325,-87,5,4757,7416,133,4902,7564,126,-145,-148,7
TRLH3/33,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,Spring,0,2014-01-14 17:52:02,1,3.15,4,Blue,bot,Rekkles,Fnatic,Jinx,Riven,Kha'Zix,Yasuo,,,1924,1,8,0,9,21,5,2,1,0,0,0,0,0,0,0.6549,0.8108,,,,,,,,,,,,,,,,,,,,,,,,1,0,17296,539.3763,0.234211,6,0.1871,1,0.0312,0,0,0,14210,10250,319.6466,0.258633,9260,,282,250,32,28,4,8.7942,3487,3259,78,2510,2419,51,977,840,27,5676,5475,125,4088,4477,103,1588,998,22
TRLH3/33,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,Spring,0,2014-01-14 17:52:02,1,3.15,5,Blue,sup,YellOwStaR,Fnatic,Annie,Riven,Kha'Zix,Yasuo,,,1924,1,0,0,15,21,5,0,0,0,0,1,0,1,0,0.6549,0.8108,,,,,,,,,,,,,,,,,,,,,,,,0,0,9217,287.4324,0.12481,38,1.185,2,0.0624,3,0,0,9045,5085,158.5759,0.128312,6390,,11,11,0,0,0,0.343,2132,3079,5,1795,2783,14,337,296,-9,3479,4695,8,2592,4219,23,887,476,-15
TRLH3/33,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,Spring,0,2014-01-14 17:52:02,1,3.15,6,Red,top,Darien,Gambit Gaming,Dr. Mundo,Kassadin,Nidalee,Elise,,,1924,0,1,5,2,5,21,0,0,0,0,0,0,0,0,0.1559,0.8108,,,,,,,,,,,,,,,,,,,,,,,,0,0,22507,701.8815,0.413945,11,0.343,3,0.0936,1,0,0,10050,6090,189.9168,0.239525,7920,,232,213,19,13,6,7.2349,3086,3994,57,3080,3907,57,6,87,0,4788,7175,111,4837,6615,110,-49,560,1
TRLH3/33,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,Spring,0,2014-01-14 17:52:02,1,3.15,7,Red,jng,Diamondprox,Gambit Gaming,Shyvana,Kassadin,Nidalee,Elise,,,1924,0,2,3,2,5,21,0,0,0,0,0,0,0,0,0.1559,0.8108,,,,,,,,,,,,,,,,,,,,,,,,0,1,9262,288.8358,0.170345,15,0.4678,2,0.0624,0,0,0,9688,5728,178.6279,0.225288,8200,,164,68,96,75,21,5.1143,3437,4157,59,2335,2732,32,1102,1425,27,4976,6739,95,3869,6036,59,1107,703,36
TRLH3/33,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,Spring,0,2014-01-14 17:52:02,1,3.15,8,Red,mid,Alex Ich,Gambit Gaming,LeBlanc,Kassadin,Nidalee,Elise,,,1924,0,2,2,2,5,21,0,0,0,0,0,0,0,0,0.1559,0.8108,,,,,,,,,,,,,,,,,,,,,,,,0,0,10991,342.7547,0.202144,7,0.2183,0,0,0,0,0,10690,6730,209.8753,0.264695,8080,,269,234,35,35,0,8.3888,3142,4303,68,2817,4216,73,325,87,-5,4902,7564,126,4757,7416,133,145,148,-7
TRLH3/33,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,Spring,0,2014-01-14 17:52:02,1,3.15,9,Red,bot,Genja,Gambit Gaming,Lucian,Kassadin,Nidalee,Elise,,,1924,0,0,5,0,5,21,0,0,0,0,0,0,0,1,0.1559,0.8108,,,,,,,,,,,,,,,,,,,,,,,,0,1,8267,257.8067,0.152045,7,0.2183,1,0.0312,0,0,0,9028,5068,158.0457,0.199331,7040,,211,189,22,20,2,6.58,2510,2419,51,3487,3259,78,-977,-840,-27,4088,4477,103,5676,5475,125,-1588,-998,-22
TRLH3/33,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/33?gameHash=c45903c6a89a7f70&amp;tab=overview,EU LCS,2014,Spring,0,2014-01-14 17:52:02,1,3.15,10,Red,sup,Edward,Gambit Gaming,Thresh,Kassadin,Nidalee,Elise,,,1924,0,0,6,2,5,21,0,0,0,0,0,0,0,0,0.1559,0.8108,,,,,,,,,,,,,,,,,,,,,,,,0,0,3345,104.3139,0.0615206,26,0.8108,7,0.2183,1,0,0,5769,1809,56.4137,0.0711606,5675,,36,35,1,1,0,1.1227,1795,2783,14,2132,3079,5,-337,-296,9,2592,4219,23,3479,4695,8,-887,-476,15
