gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH3/1000150099,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150099?gameHash=8c8855d99cd6d899,EU LCS,2014,Spring,1,2014-04-15 15:12:53,1,4.05,1,Blue,top,Wickd,Alliance,Shyvana,Lucian,Ryze,Evelynn,,,3006,0,1,3,2,8,16,0,0,0,0,0,0,0,1,0.1597,0.479,,,,,,,,,,,,,,,,,,,,,,,,0,3,19256,384.3513,0.191339,18,0.3593,5,0.0998,0,0,0,14182,8167,163.014,0.214656,13890,,328,311,17,15,2,6.5469,2552,2987,46,3075,3461,60,-523,-474,-14,4298,6358,109,4483,5553,88,-185,805,21
TRLH3/1000150099,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150099?gameHash=8c8855d99cd6d899,EU LCS,2014,Spring,1,2014-04-15 15:12:53,1,4.05,2,Blue,jng,Shook,Alliance,Kha'Zix,Lucian,Ryze,Evelynn,,,3006,0,1,4,3,8,16,0,0,0,0,0,0,0,0,0.1597,0.479,,,,,,,,,,,,,,,,,,,,,,,,0,0,11460,228.7425,0.113873,5,0.0998,4,0.0798,2,0,0,11465,5450,108.7824,0.143241,11235,,143,46,97,79,18,2.8543,2745,3108,28,3413,3278,34,-668,-170,-6,3920,5244,46,4977,5840,59,-1057,-596,-13
TRLH3/1000150099,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150099?gameHash=8c8855d99cd6d899,EU LCS,2014,Spring,1,2014-04-15 15:12:53,1,4.05,3,Blue,mid,Froggen,Alliance,Ziggs,Lucian,Ryze,Evelynn,,,3006,0,0,4,4,8,16,0,0,0,0,0,0,0,0,0.1597,0.479,,,,,,,,,,,,,,,,,,,,,,,,0,3,38435,767.1657,0.381913,15,0.2994,1,0.02,1,0,0,17196,11181,223.1737,0.293878,18325,,488,451,37,37,0,9.7405,3348,4917,93,3684,4865,97,-336,52,-4,5138,7905,159,5608,7980,162,-470,-75,-3
TRLH3/1000150099,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150099?gameHash=8c8855d99cd6d899,EU LCS,2014,Spring,1,2014-04-15 15:12:53,1,4.05,4,Blue,bot,Tabzz,Alliance,Twitch,Lucian,Ryze,Evelynn,,,3006,0,6,3,2,8,16,0,0,0,0,0,0,0,0,0.1597,0.479,,,,,,,,,,,,,,,,,,,,,,,,0,0,26770,534.3313,0.266003,4,0.0798,3,0.0599,0,0,0,16949,10934,218.2435,0.287386,17025,,364,323,41,39,2,7.2655,3183,2777,75,3437,2429,71,-254,348,4,4450,4406,114,5296,5075,130,-846,-669,-16
TRLH3/1000150099,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150099?gameHash=8c8855d99cd6d899,EU LCS,2014,Spring,1,2014-04-15 15:12:53,1,4.05,5,Blue,sup,Nyph,Alliance,Thresh,Lucian,Ryze,Evelynn,,,3006,0,0,2,4,8,16,0,0,0,0,0,0,0,0,0.1597,0.479,,,,,,,,,,,,,,,,,,,,,,,,0,1,4717,94.1517,0.046871,59,1.1776,9,0.1796,6,0,0,8330,2315,46.2076,0.0608385,8165,,46,46,0,0,0,0.9182,2045,2468,11,2451,2340,0,-406,128,11,2716,3624,17,3496,3882,8,-780,-258,9
TRLH3/1000150099,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150099?gameHash=8c8855d99cd6d899,EU LCS,2014,Spring,1,2014-04-15 15:12:53,1,4.05,6,Red,top,YoungBuck,Copenhagen Wolves,Jax,Nidalee,Irelia,Renekton,,,3006,1,4,1,4,16,8,1,0,0,0,0,0,0,0,0.3194,0.479,,,,,,,,,,,,,,,,,,,,,,,,3,0,18983,378.9022,0.183448,8,0.1597,6,0.1198,2,0,0,18970,12955,258.5828,0.214299,17568,,352,340,12,4,8,7.0259,3075,3461,60,2552,2987,46,523,474,14,4483,5553,88,4298,6358,109,185,-805,-21
TRLH3/1000150099,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150099?gameHash=8c8855d99cd6d899,EU LCS,2014,Spring,1,2014-04-15 15:12:53,1,4.05,7,Red,jng,Amazing,Copenhagen Wolves,Xin Zhao,Nidalee,Irelia,Renekton,,,3006,1,4,1,10,16,8,0,0,0,0,1,1,0,0,0.3194,0.479,,,,,,,,,,,,,,,,,,,,,,,,0,0,14171,282.8543,0.136946,25,0.499,3,0.0599,3,0,0,16489,10474,209.0619,0.173258,17025,,156,46,110,83,27,3.1138,3413,3278,34,2745,3108,28,668,170,6,4977,5840,59,3920,5244,46,1057,596,13
TRLH3/1000150099,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150099?gameHash=8c8855d99cd6d899,EU LCS,2014,Spring,1,2014-04-15 15:12:53,1,4.05,8,Red,mid,cowTard,Copenhagen Wolves,Yasuo,Nidalee,Irelia,Renekton,,,3006,1,4,1,8,16,8,0,0,0,0,0,0,0,0,0.3194,0.479,,,,,,,,,,,,,,,,,,,,,,,,3,0,23175,462.5749,0.223958,17,0.3393,5,0.0998,2,0,0,20726,14711,293.6327,0.243348,17665,,448,399,49,41,8,8.9421,3684,4865,97,3348,4917,93,336,-52,4,5608,7980,162,5138,7905,159,470,75,3
TRLH3/1000150099,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150099?gameHash=8c8855d99cd6d899,EU LCS,2014,Spring,1,2014-04-15 15:12:53,1,4.05,9,Red,bot,FORG1VEN,Copenhagen Wolves,Caitlyn,Nidalee,Irelia,Renekton,,,3006,1,3,3,7,16,8,0,0,0,0,1,0,1,0,0.3194,0.479,,,,,,,,,,,,,,,,,,,,,,,,0,0,31334,625.4291,0.302805,9,0.1796,7,0.1397,0,0,0,20055,14040,280.2395,0.232248,20665,,422,321,101,80,21,8.4232,3437,2429,71,3183,2777,75,254,-348,-4,5296,5075,130,4450,4406,114,846,669,16
TRLH3/1000150099,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150099?gameHash=8c8855d99cd6d899,EU LCS,2014,Spring,1,2014-04-15 15:12:53,1,4.05,10,Red,sup,Unlimited,Copenhagen Wolves,Karma,Nidalee,Irelia,Renekton,,,3006,1,1,2,13,16,8,0,0,0,0,1,0,1,0,0.3194,0.479,,,,,,,,,,,,,,,,,,,,,,,,1,0,15816,315.6886,0.152843,44,0.8782,9,0.1796,3,0,0,14288,8273,165.1297,0.136848,12020,,24,20,4,1,3,0.479,2451,2340,0,2045,2468,11,406,-128,-11,3496,3882,8,2716,3624,17,780,258,-9
