gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH3/1000150170,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150170?gameHash=4cb33b709248760c,EU LCS,2014,Summer,0,2014-04-24 15:03:10,1,4.05,1,Blue,top,kev1n,Millenium,Shyvana,Lulu,Thresh,Irelia,,,1992,0,1,1,3,6,17,0,0,0,0,0,0,0,0,0.1807,0.6928,,,,,,,,,,,,,,,,,,,,,,,,0,0,8708,262.2892,0.147077,11,0.3313,3,0.0904,1,0,0,9755,5666,170.6627,0.232288,9825,,217,200,17,8,9,6.5361,2598,3724,57,2795,3711,62,-197,13,-5,3931,5666,91,4644,6817,114,-713,-1151,-23
TRLH3/1000150170,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150170?gameHash=4cb33b709248760c,EU LCS,2014,Summer,0,2014-04-24 15:03:10,1,4.05,2,Blue,jng,Kottenx,Millenium,Evelynn,Lulu,Thresh,Irelia,,,1992,0,1,4,3,6,17,0,0,0,0,0,0,0,1,0.1807,0.6928,,,,,,,,,,,,,,,,,,,,,,,,0,0,10218,307.7711,0.172581,9,0.2711,4,0.1205,3,0,0,7680,3591,108.1627,0.147223,7390,,108,23,85,77,8,3.253,2593,3308,45,2315,3474,44,278,-166,1,3638,4661,62,3898,5187,56,-260,-526,6
TRLH3/1000150170,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150170?gameHash=4cb33b709248760c,EU LCS,2014,Summer,0,2014-04-24 15:03:10,1,4.05,3,Blue,mid,Kerp,Millenium,Karthus,Lulu,Thresh,Irelia,,,1992,0,4,6,2,6,17,1,0,0,0,0,0,0,0,0.1807,0.6928,,,,,,,,,,,,,,,,,,,,,,,,0,2,28496,858.3133,0.481294,11,0.3313,2,0.0602,0,0,0,10942,6853,206.4157,0.280949,10420,,267,246,21,21,0,8.0422,3177,4699,90,3772,5100,98,-595,-401,-8,4631,7102,140,6319,7804,151,-1688,-702,-11
TRLH3/1000150170,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150170?gameHash=4cb33b709248760c,EU LCS,2014,Summer,0,2014-04-24 15:03:10,1,4.05,4,Blue,bot,Creaton,Millenium,Lucian,Lulu,Thresh,Irelia,,,1992,0,0,4,3,6,17,0,0,0,0,0,0,0,0,0.1807,0.6928,,,,,,,,,,,,,,,,,,,,,,,,0,0,10621,319.9096,0.179388,5,0.1506,1,0.0301,0,0,0,10014,5925,178.4639,0.242906,10025,,263,243,20,20,0,7.9217,2988,2707,71,3270,3109,86,-282,-402,-15,4405,4643,117,5166,5347,131,-761,-704,-14
TRLH3/1000150170,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150170?gameHash=4cb33b709248760c,EU LCS,2014,Summer,0,2014-04-24 15:03:10,1,4.05,5,Blue,sup,Jree,Millenium,Janna,Lulu,Thresh,Irelia,,,1992,0,0,2,4,6,17,0,0,0,0,0,0,0,0,0.1807,0.6928,,,,,,,,,,,,,,,,,,,,,,,,0,0,1164,35.0602,0.0196598,36,1.0843,11,0.3313,4,0,0,6446,2357,70.994,0.0966343,6320,,13,12,1,1,0,0.3916,2046,2140,1,1744,2605,4,302,-465,-3,2857,3119,3,2684,4122,5,173,-1003,-2
TRLH3/1000150170,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150170?gameHash=4cb33b709248760c,EU LCS,2014,Summer,0,2014-04-24 15:03:10,1,4.05,6,Red,top,Zorozero,Ninjas in Pyjamas,Dr. Mundo,Jax,Kha'Zix,LeBlanc,,,1992,1,2,0,8,17,6,0,0,0,0,0,0,0,0,0.512,0.6928,,,,,,,,,,,,,,,,,,,,,,,,0,0,20401,614.488,0.297538,9,0.2711,1,0.0301,0,0,0,14389,10300,310.241,0.223878,12435,,298,279,19,13,6,8.9759,2795,3711,62,2598,3724,57,197,-13,5,4644,6817,114,3931,5666,91,713,1151,23
TRLH3/1000150170,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150170?gameHash=4cb33b709248760c,EU LCS,2014,Summer,0,2014-04-24 15:03:10,1,4.05,7,Red,jng,Hulberto,Ninjas in Pyjamas,Elise,Jax,Kha'Zix,LeBlanc,,,1992,1,2,1,6,17,6,0,0,0,0,1,1,0,0,0.512,0.6928,,,,,,,,,,,,,,,,,,,,,,,,0,0,6330,190.6627,0.0923198,13,0.3916,9,0.2711,3,0,0,10512,6423,193.4639,0.13961,8140,,103,31,72,50,22,3.1024,2315,3474,44,2593,3308,45,-278,166,-1,3898,5187,56,3638,4661,62,260,526,-6
TRLH3/1000150170,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150170?gameHash=4cb33b709248760c,EU LCS,2014,Summer,0,2014-04-24 15:03:10,1,4.05,8,Red,mid,Nukeduck,Ninjas in Pyjamas,Twisted Fate,Jax,Kha'Zix,LeBlanc,,,1992,1,10,2,4,17,6,2,0,0,0,1,0,1,0,0.512,0.6928,,,,,,,,,,,,,,,,,,,,,,,,2,0,24422,735.6024,0.356182,8,0.241,4,0.1205,1,0,0,17915,13826,416.4458,0.300517,15640,,323,316,7,6,1,9.7289,3772,5100,98,3177,4699,90,595,401,8,6319,7804,151,4631,7102,140,1688,702,11
TRLH3/1000150170,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150170?gameHash=4cb33b709248760c,EU LCS,2014,Summer,0,2014-04-24 15:03:10,1,4.05,9,Red,bot,Freeze,Ninjas in Pyjamas,Draven,Jax,Kha'Zix,LeBlanc,,,1992,1,3,2,7,17,6,1,0,0,0,1,0,1,0,0.512,0.6928,,,,,,,,,,,,,,,,,,,,,,,,0,0,14540,437.9518,0.212058,6,0.1807,1,0.0301,0,0,0,15347,11258,339.0964,0.244701,11710,,282,256,26,14,12,8.494,3270,3109,86,2988,2707,71,282,402,15,5166,5347,131,4405,4643,117,761,704,14
TRLH3/1000150170,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000150170?gameHash=4cb33b709248760c,EU LCS,2014,Summer,0,2014-04-24 15:03:10,1,4.05,10,Red,sup,Mithy,Ninjas in Pyjamas,Leona,Jax,Kha'Zix,LeBlanc,,,1992,1,0,1,9,17,6,0,0,0,0,0,0,0,0,0.512,0.6928,,,,,,,,,,,,,,,,,,,,,,,,0,0,2873,86.5361,0.0419012,36,1.0843,3,0.0904,6,0,0,8289,4200,126.506,0.0912928,7355,,12,10,2,2,0,0.3614,1744,2605,4,2046,2140,1,-302,465,3,2684,4122,5,2857,3119,3,-173,1003,2
