gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH3/1000360068,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000360068?gameHash=198dd5fdebea8800,EU LCS,2014,Summer,1,2014-08-07 15:54:42,2,4.13,1,Blue,top,Xaxus,Team ROCCAT,Maokai,Twisted Fate,Dr. Mundo,Orianna,,,1542,1,1,1,5,8,8,0,0,0,0,0,0,0,0,0.3113,0.6226,,,,,,,,,,,,,,,,,,,,,,,,1,0,7535,293.1907,0.283997,14,0.5447,2,0.0778,0,0,0,9158,5924,230.5058,0.1983,7050,,172,172,0,0,0,6.6926,2356,3900,50,2901,3181,48,-545,719,2,4082,6552,93,4475,6114,98,-393,438,-5
TRLH3/1000360068,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000360068?gameHash=198dd5fdebea8800,EU LCS,2014,Summer,1,2014-08-07 15:54:42,2,4.13,2,Blue,jng,Jankos,Team ROCCAT,Jarvan IV,Twisted Fate,Dr. Mundo,Orianna,,,1542,1,1,2,6,8,8,0,0,0,0,0,0,0,0,0.3113,0.6226,,,,,,,,,,,,,,,,,,,,,,,,0,0,4666,181.5564,0.175863,13,0.5058,6,0.2335,1,0,0,8479,5245,204.0856,0.175572,7725,,97,28,69,57,12,3.7743,2098,2681,28,2420,2510,26,-322,171,2,4031,5387,63,3437,4292,43,594,1095,20
TRLH3/1000360068,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000360068?gameHash=198dd5fdebea8800,EU LCS,2014,Summer,1,2014-08-07 15:54:42,2,4.13,3,Blue,mid,Overpow,Team ROCCAT,Ryze,Twisted Fate,Dr. Mundo,Orianna,,,1542,1,1,3,5,8,8,0,0,0,0,0,0,0,1,0.3113,0.6226,,,,,,,,,,,,,,,,,,,,,,,,0,0,5690,221.4008,0.214458,6,0.2335,1,0.0389,2,0,0,10331,7097,276.1479,0.237563,7985,,216,186,30,30,0,8.4047,2865,4224,76,3219,4812,79,-354,-588,-3,4589,6682,111,5174,8132,133,-585,-1450,-22
TRLH3/1000360068,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000360068?gameHash=198dd5fdebea8800,EU LCS,2014,Summer,1,2014-08-07 15:54:42,2,4.13,4,Blue,bot,Celaver,Team ROCCAT,Kog'Maw,Twisted Fate,Dr. Mundo,Orianna,,,1542,1,5,0,1,8,8,2,1,0,0,0,0,0,0,0.3113,0.6226,,,,,,,,,,,,,,,,,,,,,,,,0,0,8133,316.4591,0.306536,6,0.2335,1,0.0389,0,0,0,11694,8460,329.1829,0.283187,8878,,225,212,13,11,2,8.7549,2875,3114,77,3003,2861,58,-128,253,19,5077,5484,138,4236,4368,92,841,1116,46
TRLH3/1000360068,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000360068?gameHash=198dd5fdebea8800,EU LCS,2014,Summer,1,2014-08-07 15:54:42,2,4.13,5,Blue,sup,Vander,Team ROCCAT,Thresh,Twisted Fate,Dr. Mundo,Orianna,,,1542,1,0,2,6,8,8,0,0,0,0,0,0,0,0,0.3113,0.6226,,,,,,,,,,,,,,,,,,,,,,,,0,0,508,19.7665,0.0191467,33,1.284,4,0.1556,7,0,0,6382,3148,122.4903,0.105379,4470,,11,11,0,0,0,0.428,1634,1767,1,2023,1842,0,-389,-75,1,2624,3367,3,2825,2835,4,-201,532,-1
TRLH3/1000360068,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000360068?gameHash=198dd5fdebea8800,EU LCS,2014,Summer,1,2014-08-07 15:54:42,2,4.13,6,Red,top,Mimer,SUPA HOT CREW,Kayle,Kassadin,Elise,Zilean,,,1542,0,2,0,4,8,8,0,0,0,0,1,1,0,0,0.3113,0.6226,,,,,,,,,,,,,,,,,,,,,,,,0,1,3552,138.2101,0.133982,7,0.2724,4,0.1556,2,0,0,8324,5090,198.0545,0.235298,8180,,187,169,18,13,5,7.2763,2901,3181,48,2356,3900,50,545,-719,-2,4475,6114,98,4082,6552,93,393,-438,5
TRLH3/1000360068,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000360068?gameHash=198dd5fdebea8800,EU LCS,2014,Summer,1,2014-08-07 15:54:42,2,4.13,7,Red,jng,Impaler,SUPA HOT CREW,Rengar,Kassadin,Elise,Zilean,,,1542,0,0,3,7,8,8,0,0,0,0,1,0,1,0,0.3113,0.6226,,,,,,,,,,,,,,,,,,,,,,,,0,0,4920,191.4397,0.185583,9,0.3502,2,0.0778,2,0,0,6019,2785,108.3658,0.128748,5325,,73,13,60,50,10,2.8405,2420,2510,26,2098,2681,28,322,-171,-2,3437,4292,43,4031,5387,63,-594,-1095,-20
TRLH3/1000360068,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000360068?gameHash=198dd5fdebea8800,EU LCS,2014,Summer,1,2014-08-07 15:54:42,2,4.13,8,Red,mid,Selfie,SUPA HOT CREW,Zed,Kassadin,Elise,Zilean,,,1542,0,2,2,2,8,8,0,0,0,0,1,0,1,0,0.3113,0.6226,,,,,,,,,,,,,,,,,,,,,,,,0,0,7049,274.2802,0.26589,13,0.5058,4,0.1556,1,0,0,9371,6137,238.7938,0.283696,9162,,239,222,17,15,2,9.2996,3219,4812,79,2865,4224,76,354,588,3,5174,8132,133,4589,6682,111,585,1450,22
TRLH3/1000360068,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000360068?gameHash=198dd5fdebea8800,EU LCS,2014,Summer,1,2014-08-07 15:54:42,2,4.13,9,Red,bot,MrRallez,SUPA HOT CREW,Twitch,Kassadin,Elise,Zilean,,,1542,0,4,1,1,8,8,0,0,0,0,0,0,0,0,0.3113,0.6226,,,,,,,,,,,,,,,,,,,,,,,,0,0,7231,281.3619,0.272755,3,0.1167,2,0.0778,1,0,0,8642,5408,210.428,0.249998,8420,,185,173,12,12,0,7.1984,3003,2861,58,2875,3114,77,128,-253,-19,4236,4368,92,5077,5484,138,-841,-1116,-46
TRLH3/1000360068,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000360068?gameHash=198dd5fdebea8800,EU LCS,2014,Summer,1,2014-08-07 15:54:42,2,4.13,10,Red,sup,kaSing,SUPA HOT CREW,Morgana,Kassadin,Elise,Zilean,,,1542,0,0,2,6,8,8,0,0,0,0,0,0,0,0,0.3113,0.6226,,,,,,,,,,,,,,,,,,,,,,,,0,0,3759,146.2646,0.14179,19,0.7393,5,0.1946,5,0,0,5446,2212,86.07,0.10226,5140,,14,14,0,0,0,0.5447,2023,1842,0,1634,1767,1,389,75,-1,2825,2835,4,2624,3367,3,201,-532,1
