gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,1,Blue,top,Yazuki,Cloud9 Tempest,Renekton,Kayle,Kha'Zix,Kassadin,,,2513,0,2,2,5,10,16,0,0,0,0,0,0,0,0,0.2388,0.6208,,,,,,,,,,,,,,,,,,,,,,,,0,0,17745,423.6769,0.273598,15,0.3581,0,0,0,0,0,13246,8167,194.994,0.249273,9305,,317,287,30,21,9,7.5686,2809,4463,75,2658,4367,64,151,96,11,4895,7512,128,4035,6469,99,860,1043,29
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,2,Blue,jng,Kez,Cloud9 Tempest,Olaf,Kayle,Kha'Zix,Kassadin,,,2513,0,5,3,1,10,16,1,0,0,0,1,0,1,0,0.2388,0.6208,,,,,,,,,,,,,,,,,,,,,,,,0,0,9238,220.5651,0.142434,21,0.5014,8,0.191,8,0,0,11281,6202,148.078,0.189299,8875,,139,39,100,93,7,3.3187,2443,3237,39,2401,3535,46,42,-298,-7,3680,5423,65,3923,6033,73,-243,-610,-8
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,3,Blue,mid,Bischu,Cloud9 Tempest,Gragas,Kayle,Kha'Zix,Kassadin,,,2513,0,1,5,6,10,16,0,0,0,0,0,0,0,0,0.2388,0.6208,,,,,,,,,,,,,,,,,,,,,,,,0,0,17560,419.2598,0.270745,18,0.4298,3,0.0716,1,0,0,11866,6787,162.0454,0.207154,10320,,262,223,39,34,5,6.2555,2440,3885,51,2625,3913,65,-185,-28,-14,4411,6694,102,4287,6615,116,124,79,-14
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,4,Blue,bot,Altec,Cloud9 Tempest,Caitlyn,Kayle,Kha'Zix,Kassadin,,,2513,0,1,4,6,10,16,0,0,0,0,1,0,1,0,0.2388,0.6208,,,,,,,,,,,,,,,,,,,,,,,,0,1,12578,300.3104,0.193931,8,0.191,8,0.191,1,0,0,12927,7848,187.3776,0.239537,9470,,290,272,18,17,1,6.924,2838,2546,72,2340,2625,49,498,-79,23,4743,4312,125,3863,4181,91,880,131,34
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,5,Blue,sup,Gleeb,Cloud9 Tempest,Annie,Kayle,Kha'Zix,Kassadin,,,2513,0,1,2,7,10,16,0,0,0,0,1,1,0,0,0.2388,0.6208,,,,,,,,,,,,,,,,,,,,,,,,0,0,7737,184.7274,0.119291,53,1.2654,7,0.1671,5,0,0,8838,3759,89.7493,0.114737,6500,,9,9,0,0,0,0.2149,2026,2399,0,1689,1973,0,337,426,0,3013,4106,1,2643,3468,1,370,638,0
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,6,Red,top,Jezie,Dadslammers,Shen,Ziggs,Thresh,Elise,,,2513,1,3,3,13,16,10,0,0,0,0,0,0,0,0,0.382,0.6208,,,,,,,,,,,,,,,,,,,,,,,,0,0,12176,290.7123,0.205776,11,0.2626,2,0.0478,1,0,0,15379,10300,245.9212,0.223185,12650,,278,268,10,9,1,6.6375,2658,4367,64,2809,4463,75,-151,-96,-11,4035,6469,99,4895,7512,128,-860,-1043,-29
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,7,Red,jng,Nk Inc,Dadslammers,Vi,Ziggs,Thresh,Elise,,,2513,1,1,1,13,16,10,0,0,0,0,0,0,0,0,0.382,0.6208,,,,,,,,,,,,,,,,,,,,,,,,0,0,7810,186.4704,0.13199,20,0.4775,3,0.0716,2,0,0,12678,7599,181.4326,0.16466,8795,,163,81,82,71,11,3.8918,2401,3535,46,2443,3237,39,-42,298,7,3923,6033,73,3680,5423,65,243,610,8
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,8,Red,mid,Goldenglue,Dadslammers,Akali,Ziggs,Thresh,Elise,,,2513,1,9,2,6,16,10,3,0,0,0,0,0,0,0,0.382,0.6208,,,,,,,,,,,,,,,,,,,,,,,,0,0,19311,461.0665,0.326359,20,0.4775,3,0.0716,0,0,0,16750,11671,278.655,0.252891,9895,,292,261,31,20,11,6.9717,2625,3913,65,2440,3885,51,185,28,14,4287,6615,116,4411,6694,102,-124,-79,14
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,9,Red,bot,Mabrey,Dadslammers,Sivir,Ziggs,Thresh,Elise,,,2513,1,3,1,12,16,10,0,0,0,0,0,0,0,0,0.382,0.6208,,,,,,,,,,,,,,,,,,,,,,,,1,0,15100,360.5253,0.255193,5,0.1194,2,0.0478,0,0,0,16435,11356,271.1341,0.246066,11480,,338,309,29,28,1,8.07,2340,2625,49,2838,2546,72,-498,79,-23,3863,4181,91,4743,4312,125,-880,-131,-34
TRNA1/60012,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/60012?gameHash=c6cecb6c9f02467d,NA CS,2014,Spring,0,2014-01-26 00:00:06,1,,10,Red,sup,Nisker,Dadslammers,Leona,Ziggs,Thresh,Elise,,,2513,1,0,3,13,16,10,0,0,0,0,0,0,0,1,0.382,0.6208,,,,,,,,,,,,,,,,,,,,,,,,0,0,4774,113.9833,0.0806814,56,1.337,6,0.1433,4,0,0,10303,5224,124.7274,0.113199,9060,,10,10,0,0,0,0.2388,1689,1973,0,2026,2399,0,-337,-426,0,2643,3468,1,3013,4106,1,-370,-638,0
