gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
FRA1TMNT1/250039,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250039?gameHash=9fa95dc649474914,NA CS,2014,Summer,0,2014-06-01 23:37:37,1,4.08,1,Blue,top,Hauntzer,Team LoLPro,Trundle,Nocturne,Jax,Nidalee,,,3307,1,0,3,14,18,18,0,0,0,0,0,0,0,0,0.3266,0.6532,,,,,,,,,,,,,,,,,,,,,,,,0,2,25180,456.8491,0.180813,18,0.3266,8,0.1451,1,0,0,18054,11467,208.0496,0.190115,17175,,349,336,13,10,3,6.332,2947,4287,81,3053,4566,77,-106,-279,4,4791,6624,132,5068,7164,127,-277,-540,5
FRA1TMNT1/250039,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250039?gameHash=9fa95dc649474914,NA CS,2014,Summer,0,2014-06-01 23:37:37,1,4.08,2,Blue,jng,heavenTime,Team LoLPro,Kha'Zix,Nocturne,Jax,Nidalee,,,3307,1,5,6,9,18,18,1,1,0,0,0,0,0,0,0.3266,0.6532,,,,,,,,,,,,,,,,,,,,,,,,0,0,17278,313.4805,0.12407,18,0.3266,9,0.1633,3,0,0,16399,9812,178.0224,0.162676,15000,,174,86,88,73,15,3.1569,2081,2764,29,2455,3170,42,-374,-406,-13,3310,5091,50,3986,5222,64,-676,-131,-14
FRA1TMNT1/250039,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250039?gameHash=9fa95dc649474914,NA CS,2014,Summer,0,2014-06-01 23:37:37,1,4.08,3,Blue,mid,Benji,Team LoLPro,Syndra,Nocturne,Jax,Nidalee,,,3307,1,7,1,8,18,18,2,0,0,0,1,1,0,0,0.3266,0.6532,,,,,,,,,,,,,,,,,,,,,,,,0,0,44590,809.0112,0.320192,2,0.0363,4,0.0726,1,0,0,23145,16558,300.4173,0.274523,19510,,536,469,67,58,9,9.7248,3580,5122,94,3158,4520,84,422,602,10,5483,8015,155,4935,7298,135,548,717,20
FRA1TMNT1/250039,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250039?gameHash=9fa95dc649474914,NA CS,2014,Summer,0,2014-06-01 23:37:37,1,4.08,4,Blue,bot,Hoodstomp,Team LoLPro,Lucian,Nocturne,Jax,Nidalee,,,3307,1,5,3,7,18,18,0,0,0,0,0,0,0,0,0.3266,0.6532,,,,,,,,,,,,,,,,,,,,,,,,0,3,40043,726.5135,0.287541,13,0.2359,8,0.1451,0,0,0,21424,14837,269.1926,0.245989,19208,,471,431,40,35,5,8.5455,2779,2971,72,3034,2907,78,-255,64,-6,4609,4538,119,4623,4758,117,-14,-220,2
FRA1TMNT1/250039,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250039?gameHash=9fa95dc649474914,NA CS,2014,Summer,0,2014-06-01 23:37:37,1,4.08,5,Blue,sup,Lohpally,Team LoLPro,Sona,Nocturne,Jax,Nidalee,,,3307,1,1,5,14,18,18,0,0,0,0,0,0,0,0,0.3266,0.6532,,,,,,,,,,,,,,,,,,,,,,,,1,0,12169,220.7862,0.0873833,56,1.016,10,0.1814,5,0,0,14229,7642,138.6513,0.126698,11590,,28,28,0,0,0,0.508,2033,2811,6,1949,2583,1,84,228,5,3112,4260,9,3093,3850,4,19,410,5
FRA1TMNT1/250039,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250039?gameHash=9fa95dc649474914,NA CS,2014,Summer,0,2014-06-01 23:37:37,1,4.08,6,Red,top,ChumpJohn,Area of Effect eSports,Shyvana,Lee Sin,Kassadin,Lulu,,,3307,0,2,4,10,18,18,0,0,0,0,0,0,0,0,0.3266,0.6532,,,,,,,,,,,,,,,,,,,,,,,,2,0,33420,606.3502,0.186994,13,0.2359,2,0.0363,1,0,0,20067,13480,244.5721,0.231421,20360,,394,337,57,44,13,7.1485,3053,4566,77,2947,4287,81,106,279,-4,5068,7164,127,4791,6624,132,277,540,-5
FRA1TMNT1/250039,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250039?gameHash=9fa95dc649474914,NA CS,2014,Summer,0,2014-06-01 23:37:37,1,4.08,7,Red,jng,Pat,Area of Effect eSports,Elise,Lee Sin,Kassadin,Lulu,,,3307,0,5,5,12,18,18,0,0,0,0,0,0,0,0,0.3266,0.6532,,,,,,,,,,,,,,,,,,,,,,,,0,0,19586,355.3553,0.109589,25,0.4536,9,0.1633,9,0,0,17167,10580,191.9565,0.181634,15595,,182,71,111,95,16,3.3021,2455,3170,42,2081,2764,29,374,406,13,3986,5222,64,3310,5091,50,676,131,14
FRA1TMNT1/250039,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250039?gameHash=9fa95dc649474914,NA CS,2014,Summer,0,2014-06-01 23:37:37,1,4.08,8,Red,mid,Wolfe,Area of Effect eSports,Ziggs,Lee Sin,Kassadin,Lulu,,,3307,0,6,3,10,18,18,1,0,0,0,0,0,0,1,0.3266,0.6532,,,,,,,,,,,,,,,,,,,,,,,,0,0,74804,1357.1938,0.418549,17,0.3084,6,0.1089,2,0,0,20492,13905,252.283,0.238718,18590,,400,388,12,9,3,7.2573,3158,4520,84,3580,5122,94,-422,-602,-10,4935,7298,135,5483,8015,155,-548,-717,-20
FRA1TMNT1/250039,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250039?gameHash=9fa95dc649474914,NA CS,2014,Summer,0,2014-06-01 23:37:37,1,4.08,9,Red,bot,EvanRL,Area of Effect eSports,Caitlyn,Lee Sin,Kassadin,Lulu,,,3307,0,4,3,9,18,18,0,0,0,0,0,0,0,0,0.3266,0.6532,,,,,,,,,,,,,,,,,,,,,,,,3,0,39157,710.4385,0.219094,12,0.2177,5,0.0907,1,0,0,19523,12936,234.7021,0.222082,18035,,371,341,30,21,9,6.7312,3034,2907,78,2779,2971,72,255,-64,6,4623,4758,117,4609,4538,119,14,220,-2
FRA1TMNT1/250039,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/FRA1TMNT1/250039?gameHash=9fa95dc649474914,NA CS,2014,Summer,0,2014-06-01 23:37:37,1,4.08,10,Red,sup,Elementz,Area of Effect eSports,Nami,Lee Sin,Kassadin,Lulu,,,3307,0,1,3,14,18,18,0,0,0,0,0,0,0,0,0.3266,0.6532,,,,,,,,,,,,,,,,,,,,,,,,0,1,11755,213.2749,0.0657725,81,1.4696,7,0.127,13,0,0,13935,7348,133.3172,0.126146,13455,,24,22,2,1,1,0.4354,1949,2583,1,2033,2811,6,-84,-228,-5,3093,3850,4,3112,4260,9,-19,-410,-5
