gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,1,Blue,top,BalIs,Cloud9,Renekton,Dr. Mundo,Shyvana,Olaf,,,2848,1,4,0,7,17,9,1,0,0,0,0,0,0,0,0.3581,0.5478,,,,,,,,,,,,,,,,,,,,,,,,1,0,15825,333.3919,0.162294,9,0.1896,6,0.1264,1,0,0,18403,12688,267.3034,0.209605,12585,,361,320,41,26,15,7.6053,2773,3332,63,2467,2961,46,306,371,17,4699,6198,121,4048,5681,98,651,517,23
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,2,Blue,jng,Meteos,Cloud9,Vi,Dr. Mundo,Shyvana,Olaf,,,2848,1,4,2,11,17,9,1,0,0,0,0,0,0,0,0.3581,0.5478,,,,,,,,,,,,,,,,,,,,,,,,0,0,11058,232.9635,0.113406,10,0.2107,10,0.2107,0,0,0,16752,11037,232.5211,0.18233,11405,,173,60,113,88,25,3.6447,2464,2993,35,2250,2518,31,214,475,4,4009,5200,57,3539,4922,51,470,278,6
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,3,Blue,mid,Hai,Cloud9,Teemo,Dr. Mundo,Shyvana,Olaf,,,2848,1,3,3,10,17,9,1,0,0,0,0,0,0,0,0.3581,0.5478,,,,,,,,,,,,,,,,,,,,,,,,2,0,38544,812.0225,0.395291,120,2.5281,2,0.0421,1,0,0,18372,12657,266.6503,0.209093,12445,,326,313,13,8,5,6.868,2727,3766,55,2748,4502,63,-21,-736,-8,4763,6246,96,4926,7387,116,-163,-1141,-20
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,4,Blue,bot,Sneaky,Cloud9,Caitlyn,Dr. Mundo,Shyvana,Olaf,,,2848,1,6,2,9,17,9,1,1,0,0,0,0,0,0,0.3581,0.5478,,,,,,,,,,,,,,,,,,,,,,,,1,0,27327,575.7093,0.280254,8,0.1685,2,0.0421,0,0,0,21601,15886,334.677,0.262436,12665,,447,420,27,12,15,9.4171,3270,3060,85,3128,3426,80,142,-366,5,5221,4931,127,5231,5584,115,-10,-653,12
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,5,Blue,sup,LemonNation,Cloud9,Thresh,Dr. Mundo,Shyvana,Olaf,,,2848,1,0,2,17,17,9,0,0,0,0,0,0,0,1,0.3581,0.5478,,,,,,,,,,,,,,,,,,,,,,,,0,0,4754,100.1545,0.048755,40,0.8427,13,0.2739,2,0,0,13980,8265,174.1222,0.136536,8960,,22,21,1,0,1,0.4635,2033,2483,4,1761,1944,1,272,539,3,3420,3697,6,2769,3568,2,651,129,4
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,6,Red,top,Dyrus,Team SoloMid,Nasus,Kassadin,Kha'Zix,Elise,,,2848,0,1,5,3,9,17,0,0,0,0,0,0,0,0,0.1896,0.5478,,,,,,,,,,,,,,,,,,,,,,,,0,1,10361,218.2795,0.138387,18,0.3792,1,0.0211,0,0,0,13119,7404,155.9831,0.198648,8615,,290,280,10,6,4,6.1096,2467,2961,46,2773,3332,63,-306,-371,-17,4048,5681,98,4699,6198,121,-651,-517,-23
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,7,Red,jng,TheOddOne,Team SoloMid,Nunu & Willump,Kassadin,Kha'Zix,Elise,,,2848,0,0,4,5,9,17,0,0,0,0,1,0,1,0,0.1896,0.5478,,,,,,,,,,,,,,,,,,,,,,,,0,0,5931,124.9508,0.0792173,46,0.9691,14,0.2949,7,0,0,10451,4736,99.7753,0.127064,7685,,135,61,74,68,6,2.8441,2250,2518,31,2464,2993,35,-214,-475,-4,3539,4922,51,4009,5200,57,-470,-278,-6
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,8,Red,mid,Bjergsen,Team SoloMid,Gragas,Kassadin,Kha'Zix,Elise,,,2848,0,4,3,4,9,17,0,0,0,0,1,0,1,0,0.1896,0.5478,,,,,,,,,,,,,,,,,,,,,,,,0,2,32732,689.5787,0.437184,9,0.1896,2,0.0421,0,0,0,17027,11312,238.3146,0.303501,12765,,440,404,36,36,0,9.2697,2748,4502,63,2727,3766,55,21,736,8,4926,7387,116,4763,6246,96,163,1141,20
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,9,Red,bot,WildTurtle,Team SoloMid,Lucian,Kassadin,Kha'Zix,Elise,,,2848,0,3,2,3,9,17,1,0,0,0,1,1,0,0,0.1896,0.5478,,,,,,,,,,,,,,,,,,,,,,,,0,1,18923,398.6587,0.252745,3,0.0632,10,0.2107,0,0,0,16244,10529,221.8188,0.282493,10348,,401,354,47,40,7,8.448,3128,3426,80,3270,3060,85,-142,366,-5,5231,5584,115,5221,4931,127,10,653,-12
TRLH1/1000050045,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000050045?gameHash=0fc0e7cb7e2f20c0&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,0,2014-01-17 20:04:22,1,,10,Red,sup,Xpecial,Team SoloMid,Annie,Kassadin,Kha'Zix,Elise,,,2848,0,1,3,5,9,17,0,0,0,0,0,0,0,0,0.1896,0.5478,,,,,,,,,,,,,,,,,,,,,,,,0,0,6923,145.8497,0.0924669,43,0.9059,6,0.1264,2,0,0,9006,3291,69.3329,0.0882939,8260,,23,21,2,2,0,0.4846,1761,1944,1,2033,2483,4,-272,-539,-3,2769,3568,2,3420,3697,6,-651,-129,-4
