gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH1/1000170090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170090?gameHash=b336947c5be4a56b&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,1,2014-04-18 18:53:14,1,4.05,1,Blue,top,Nien,Counter Logic Gaming,Jax,Annie,Ziggs,Lee Sin,,,1793,1,1,1,8,12,4,0,0,0,0,0,0,0,0,0.4016,0.502,,,,,,,,,,,,,,,,,,,,,,,,0,0,11037,369.3363,0.21536,12,0.4016,1,0.0335,0,0,0,11131,7420,248.2989,0.204374,8523,,208,206,2,0,2,6.9604,2469,4051,53,2619,4073,64,-150,-22,-11,4056,6639,104,3839,6508,93,217,131,11
TRLH1/1000170090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170090?gameHash=b336947c5be4a56b&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,1,2014-04-18 18:53:14,1,4.05,2,Blue,jng,dexter,Counter Logic Gaming,Nocturne,Annie,Ziggs,Lee Sin,,,1793,1,5,1,3,12,4,0,0,0,0,0,0,0,0,0.4016,0.502,,,,,,,,,,,,,,,,,,,,,,,,0,0,11411,381.8516,0.222658,15,0.502,7,0.2342,5,0,0,10380,6669,223.1679,0.183689,9440,,129,29,100,88,12,4.3168,2622,4189,54,2388,3488,44,234,701,10,4141,6405,78,3530,5920,69,611,485,9
TRLH1/1000170090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170090?gameHash=b336947c5be4a56b&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,1,2014-04-18 18:53:14,1,4.05,3,Blue,mid,Link,Counter Logic Gaming,Soraka,Annie,Ziggs,Lee Sin,,,1793,1,0,0,10,12,4,0,0,0,0,0,0,0,0,0.4016,0.502,,,,,,,,,,,,,,,,,,,,,,,,0,0,6213,207.9085,0.121232,11,0.3681,3,0.1004,3,0,0,10939,7228,241.874,0.199086,8830,,203,183,20,18,2,6.7931,2847,4284,75,3104,4996,91,-257,-712,-16,4488,7156,129,4607,7415,136,-119,-259,-7
TRLH1/1000170090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170090?gameHash=b336947c5be4a56b&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,1,2014-04-18 18:53:14,1,4.05,4,Blue,bot,Doublelift,Counter Logic Gaming,Lucian,Annie,Ziggs,Lee Sin,,,1793,1,5,0,4,12,4,0,0,0,0,1,0,1,0,0.4016,0.502,,,,,,,,,,,,,,,,,,,,,,,,3,0,17493,585.3765,0.341333,7,0.2342,5,0.1673,0,0,0,13707,9996,334.5008,0.275323,10583,,290,274,16,16,0,9.7044,3179,3087,84,2474,2670,55,705,417,29,4950,5257,147,4105,4796,112,845,461,35
TRLH1/1000170090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170090?gameHash=b336947c5be4a56b&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,1,2014-04-18 18:53:14,1,4.05,5,Blue,sup,aphromoo,Counter Logic Gaming,Lulu,Annie,Ziggs,Lee Sin,,,1793,1,1,2,5,12,4,0,0,0,0,1,1,0,0,0.4016,0.502,,,,,,,,,,,,,,,,,,,,,,,,0,0,5095,170.4964,0.0994166,26,0.8701,4,0.1339,2,0,0,8704,4993,167.0831,0.137528,6385,,20,20,0,0,0,0.6693,2329,2980,1,1690,2729,2,639,251,-1,3275,4893,2,2477,4214,2,798,679,0
TRLH1/1000170090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170090?gameHash=b336947c5be4a56b&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,1,2014-04-18 18:53:14,1,4.05,6,Red,top,ZionSpartan,Team Coast,Ryze,Vayne,Kha'Zix,Orianna,,,1793,0,1,2,1,3,12,0,0,0,0,0,0,0,0,0.1004,0.502,,,,,,,,,,,,,,,,,,,,,,,,0,0,14429,482.8444,0.312201,15,0.502,3,0.1004,1,0,0,8255,4544,152.058,0.224382,7950,,190,183,7,7,0,6.3581,2619,4073,64,2469,4051,53,150,22,11,3839,6508,93,4056,6639,104,-217,-131,-11
TRLH1/1000170090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170090?gameHash=b336947c5be4a56b&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,1,2014-04-18 18:53:14,1,4.05,7,Red,jng,NintendudeX,Team Coast,Xin Zhao,Vayne,Kha'Zix,Orianna,,,1793,0,0,3,1,3,12,0,0,0,0,0,0,0,0,0.1004,0.502,,,,,,,,,,,,,,,,,,,,,,,,0,0,4985,166.8154,0.107861,11,0.3681,7,0.2342,2,0,0,6720,3009,100.6916,0.148589,6505,,108,24,84,79,5,3.6141,2388,3488,44,2622,4189,54,-234,-701,-10,3530,5920,69,4141,6405,78,-611,-485,-9
TRLH1/1000170090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170090?gameHash=b336947c5be4a56b&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,1,2014-04-18 18:53:14,1,4.05,8,Red,mid,Shiphtur,Team Coast,LeBlanc,Vayne,Kha'Zix,Orianna,,,1793,0,2,1,1,3,12,0,0,0,0,0,0,0,0,0.1004,0.502,,,,,,,,,,,,,,,,,,,,,,,,0,0,11016,368.6336,0.238354,11,0.3681,3,0.1004,1,0,0,10027,6316,211.3553,0.311878,8695,,269,255,14,14,0,9.0017,3104,4996,91,2847,4284,75,257,712,16,4607,7415,136,4488,7156,129,119,259,7
TRLH1/1000170090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170090?gameHash=b336947c5be4a56b&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,1,2014-04-18 18:53:14,1,4.05,9,Red,bot,Apollo,Team Coast,Ezreal,Vayne,Kha'Zix,Orianna,,,1793,0,0,1,2,3,12,0,0,0,0,0,0,0,0,0.1004,0.502,,,,,,,,,,,,,,,,,,,,,,,,0,3,13578,454.367,0.293788,9,0.3012,7,0.2342,0,0,0,8374,4663,156.0402,0.230258,7715,,207,199,8,6,2,6.9269,2474,2670,55,3179,3087,84,-705,-417,-29,4105,4796,112,4950,5257,147,-845,-461,-35
TRLH1/1000170090,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170090?gameHash=b336947c5be4a56b&amp;amp;tab=overview&amp;tab=overview,NA LCS,2014,Spring,1,2014-04-18 18:53:14,1,4.05,10,Red,sup,Daydreamin,Team Coast,Thresh,Vayne,Kha'Zix,Orianna,,,1793,0,0,5,2,3,12,0,0,0,0,0,0,0,1,0.1004,0.502,,,,,,,,,,,,,,,,,,,,,,,,0,0,2209,73.9208,0.0477963,24,0.8031,6,0.2008,4,0,0,5430,1719,57.5237,0.0848932,5090,,12,12,0,0,0,0.4016,1690,2729,2,2329,2980,1,-639,-251,1,2477,4214,2,3275,4893,2,-798,-679,0
