gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH1/1000170167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170167?gameHash=983fb7881f9a1fbb,NA LCS,2014,Summer,0,2014-04-26 19:04:50,1,4.05,1,Blue,top,Benny,XDG Gaming,Irelia,Nidalee,Renekton,Evelynn,,,1686,0,0,4,1,3,16,0,0,0,0,0,0,0,0,0.1068,0.6762,,,,,,,,,,,,,,,,,,,,,,,,0,0,5599,199.2527,0.167144,10,0.3559,0,0,1,0,0,7700,4193,149.2171,0.204089,7353,,181,180,1,0,1,6.4413,2568,3481,57,2849,4066,56,-281,-585,1,3713,4626,73,4754,6251,75,-1041,-1625,-2
TRLH1/1000170167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170167?gameHash=983fb7881f9a1fbb,NA LCS,2014,Summer,0,2014-04-26 19:04:50,1,4.05,2,Blue,jng,Xmithie,XDG Gaming,Kha'Zix,Nidalee,Renekton,Evelynn,,,1686,0,1,2,1,3,16,0,0,0,0,0,0,0,0,0.1068,0.6762,,,,,,,,,,,,,,,,,,,,,,,,0,0,3697,131.5658,0.110365,12,0.427,4,0.1423,1,0,0,7525,4018,142.9893,0.19557,7372,,94,26,68,61,7,3.3452,2257,2577,28,2656,2848,38,-399,-271,-10,4061,4876,45,4275,5061,63,-214,-185,-18
TRLH1/1000170167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170167?gameHash=983fb7881f9a1fbb,NA LCS,2014,Summer,0,2014-04-26 19:04:50,1,4.05,3,Blue,mid,mancloud,XDG Gaming,Soraka,Nidalee,Renekton,Evelynn,,,1686,0,0,5,2,3,16,0,0,0,0,0,0,0,0,0.1068,0.6762,,,,,,,,,,,,,,,,,,,,,,,,0,0,9790,348.3986,0.292256,6,0.2135,3,0.1068,1,0,0,8612,5105,181.6726,0.248484,8745,,220,185,35,35,0,7.8292,3282,5012,94,3122,4640,80,160,372,14,4695,6696,124,5560,7695,140,-865,-999,-16
TRLH1/1000170167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170167?gameHash=983fb7881f9a1fbb,NA LCS,2014,Summer,0,2014-04-26 19:04:50,1,4.05,4,Blue,bot,Zuna,XDG Gaming,Twitch,Nidalee,Renekton,Evelynn,,,1686,0,2,4,1,3,16,0,0,0,0,0,0,0,1,0.1068,0.6762,,,,,,,,,,,,,,,,,,,,,,,,0,2,11626,413.7367,0.347066,4,0.1423,2,0.0712,0,0,0,8391,4884,173.8078,0.237726,7565,,161,147,14,12,2,5.7295,2901,2714,72,2662,2077,55,239,637,17,4384,4220,95,4573,4209,89,-189,11,6
TRLH1/1000170167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170167?gameHash=983fb7881f9a1fbb,NA LCS,2014,Summer,0,2014-04-26 19:04:50,1,4.05,5,Blue,sup,Sheep,XDG Gaming,Nami,Nidalee,Renekton,Evelynn,,,1686,0,0,1,3,3,16,0,0,0,0,0,0,0,0,0.1068,0.6762,,,,,,,,,,,,,,,,,,,,,,,,0,0,2786,99.1459,0.0831691,27,0.9609,4,0.1423,3,0,0,5852,2345,83.452,0.114131,5230,,8,8,0,0,0,0.2847,1962,2331,0,2158,1669,2,-196,662,-2,3119,3390,2,3444,3313,3,-325,77,-1
TRLH1/1000170167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170167?gameHash=983fb7881f9a1fbb,NA LCS,2014,Summer,0,2014-04-26 19:04:50,1,4.05,6,Red,top,GodLike,LMQ,Shyvana,Ziggs,Jax,Elise,,,1686,1,4,2,12,16,3,0,0,0,0,1,0,1,0,0.5694,0.6762,,,,,,,,,,,,,,,,,,,,,,,,0,0,15439,549.4306,0.264952,5,0.1779,0,0,0,0,0,11749,8242,293.3096,0.227983,9855,,195,188,7,6,1,6.9395,2849,4066,56,2568,3481,57,281,585,-1,4754,6251,75,3713,4626,73,1041,1625,2
TRLH1/1000170167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170167?gameHash=983fb7881f9a1fbb,NA LCS,2014,Summer,0,2014-04-26 19:04:50,1,4.05,7,Red,jng,NoName,LMQ,Nocturne,Ziggs,Jax,Elise,,,1686,1,5,0,6,16,3,0,0,0,0,1,1,0,0,0.5694,0.6762,,,,,,,,,,,,,,,,,,,,,,,,0,0,9426,335.4448,0.161761,14,0.4982,4,0.1423,2,0,0,10432,6925,246.4413,0.191552,8612,,124,60,64,49,15,4.4128,2656,2848,38,2257,2577,28,399,271,10,4275,5061,63,4061,4876,45,214,185,18
TRLH1/1000170167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170167?gameHash=983fb7881f9a1fbb,NA LCS,2014,Summer,0,2014-04-26 19:04:50,1,4.05,8,Red,mid,XiaoWeiXiao,LMQ,Orianna,Ziggs,Jax,Elise,,,1686,1,4,0,11,16,3,1,0,0,0,1,0,1,0,0.5694,0.6762,,,,,,,,,,,,,,,,,,,,,,,,0,0,15699,558.6833,0.269414,12,0.427,0,0,2,0,0,13084,9577,340.8185,0.264913,11040,,291,224,67,49,18,10.3559,3122,4640,80,3282,5012,94,-160,-372,-14,5560,7695,140,4695,6696,124,865,999,16
TRLH1/1000170167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170167?gameHash=983fb7881f9a1fbb,NA LCS,2014,Summer,0,2014-04-26 19:04:50,1,4.05,9,Red,bot,Vasilii,LMQ,Lucian,Ziggs,Jax,Elise,,,1686,1,3,0,9,16,3,1,0,0,0,1,0,1,0,0.5694,0.6762,,,,,,,,,,,,,,,,,,,,,,,,2,0,13512,480.8541,0.231882,6,0.2135,1,0.0356,2,0,0,10349,6842,243.4875,0.189256,9088,,168,159,9,6,3,5.9786,2662,2077,55,2901,2714,72,-239,-637,-17,4573,4209,89,4384,4220,95,189,-11,-6
TRLH1/1000170167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170167?gameHash=983fb7881f9a1fbb,NA LCS,2014,Summer,0,2014-04-26 19:04:50,1,4.05,10,Red,sup,Mor,LMQ,Morgana,Ziggs,Jax,Elise,,,1686,1,0,1,13,16,3,0,0,0,0,1,0,1,0,0.5694,0.6762,,,,,,,,,,,,,,,,,,,,,,,,0,0,4195,149.2883,0.0719912,29,1.032,4,0.1423,4,0,0,8073,4566,162.4911,0.126296,6580,,8,7,1,0,1,0.2847,2158,1669,2,1962,2331,0,196,-662,2,3444,3313,3,3119,3390,2,325,-77,1
TRLH1/1000170167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170167?gameHash=983fb7881f9a1fbb,NA LCS,2014,Summer,0,2014-04-26 19:04:50,1,4.05,100,Blue,team,,XDG Gaming,,Nidalee,Renekton,Evelynn,,,1686,0,3,16,8,3,16,0,0,0,0,0,,,,0.1068,0.6762,1,0,0,0,0,0,0,0,0,,0,0,,,,0,0,1,0,3,10,0,0,0,2,33498,1192.0996,,59,2.0996,13,0.4626,6,0,0,38080,20543,731.0676,,36265,-0.218811,,546,118,108,10,23.6299,12970,16115,251,13447,15300,231,-477,815,20,19972,23808,339,22606,26529,370,-2634,-2721,-31
TRLH1/1000170167,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170167?gameHash=983fb7881f9a1fbb,NA LCS,2014,Summer,0,2014-04-26 19:04:50,1,4.05,200,Red,team,,LMQ,,Ziggs,Jax,Elise,,,1686,1,16,3,51,16,3,2,0,0,0,1,,,,0.5694,0.6762,0,0,0,0,0,0,0,0,0,,0,0,,,,1,1,0,1,10,3,1,1,2,0,58271,2073.7011,,66,2.3488,9,0.3203,10,0,0,53687,36150,1286.4769,,45175,0.218811,,638,148,110,38,27.9715,13447,15300,231,12970,16115,251,477,-815,-20,22606,26529,370,19972,23808,339,2634,2721,31
TRLH1/1000170168,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000170168?gameHash=2a1ae463ddedfcd0,NA LCS,2014,Summer,0,2014-04-26 19:52:34,2,4.05,1,Blue,top,GodLike,LMQ,Shyvana,Ziggs,Elise,Morgana,,,1928,1,3,0,9,14,3,0,0,0,0,1,0,1,0,0.4357,0.529,,,,,,,,,,,,,,,,,,,,,,,,0,0,10923,339.9274,0.196065,12,0.3734,3,0.0934,0,0,0,12057,8090,251.7635,0.199541,12465,,226,224,2,0,2,7.0332,2911,3562,51,2990,3866,69,-79,-304,-18,4507,5789,95,4246,5689,105,261,100,-10
