gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH1/1000310081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310081?gameHash=9b4ac773895f00d4,NA LCS,2014,Summer,1,2014-08-23 18:36:55,1,4.14,1,Blue,top,Dyrus,Team SoloMid,Maokai,Nidalee,Lulu,Ryze,,,3315,0,0,3,6,15,6,0,0,0,0,0,0,0,0,0.2715,0.3801,,,,,,,,,,,,,,,,,,,,,,,,0,3,29047,525.7376,0.311162,6,0.1086,5,0.0905,2,0,0,19560,12958,234.5339,0.245577,18125,,491,473,18,18,0,8.8869,2578,3870,63,2509,2766,58,69,1104,5,4174,6560,117,4198,5574,105,-24,986,12
TRLH1/1000310081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310081?gameHash=9b4ac773895f00d4,NA LCS,2014,Summer,1,2014-08-23 18:36:55,1,4.14,2,Blue,jng,Amazing,Team SoloMid,Lee Sin,Nidalee,Lulu,Ryze,,,3315,0,0,2,11,15,6,0,0,0,0,1,0,1,0,0.2715,0.3801,,,,,,,,,,,,,,,,,,,,,,,,0,0,8228,148.9231,0.0881414,39,0.7059,12,0.2172,5,0,0,13021,6419,116.181,0.121647,13115,,154,38,116,101,15,2.7873,2335,3141,37,2444,3150,42,-109,-9,-5,3433,5308,59,3968,5623,65,-535,-315,-6
TRLH1/1000310081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310081?gameHash=9b4ac773895f00d4,NA LCS,2014,Summer,1,2014-08-23 18:36:55,1,4.14,3,Blue,mid,Bjergsen,Team SoloMid,Syndra,Nidalee,Lulu,Ryze,,,3315,0,9,1,3,15,6,2,0,0,0,0,0,0,0,0.2715,0.3801,,,,,,,,,,,,,,,,,,,,,,,,0,0,27596,499.4751,0.295619,10,0.181,8,0.1448,2,0,0,22847,16245,294.0271,0.307874,20850,,562,526,36,24,12,10.1719,3225,5136,97,3039,5049,89,186,87,8,4954,7784,157,4882,8080,145,72,-296,12
TRLH1/1000310081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310081?gameHash=9b4ac773895f00d4,NA LCS,2014,Summer,1,2014-08-23 18:36:55,1,4.14,4,Blue,bot,WildTurtle,Team SoloMid,Kog'Maw,Nidalee,Lulu,Ryze,,,3315,0,5,0,7,15,6,0,0,0,0,1,1,0,0,0.2715,0.3801,,,,,,,,,,,,,,,,,,,,,,,,0,0,25125,454.7511,0.269148,15,0.2715,13,0.2353,5,0,0,18268,11666,211.1493,0.22109,18268,,378,328,50,33,17,6.8416,3212,3093,73,2979,4232,86,233,-1139,-13,4935,5527,131,4864,6497,144,71,-970,-13
TRLH1/1000310081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310081?gameHash=9b4ac773895f00d4,NA LCS,2014,Summer,1,2014-08-23 18:36:55,1,4.14,5,Blue,sup,Lustboy,Team SoloMid,Nami,Nidalee,Lulu,Ryze,,,3315,0,1,0,13,15,6,0,0,0,0,1,0,1,0,0.2715,0.3801,,,,,,,,,,,,,,,,,,,,,,,,0,0,3354,60.7059,0.0359293,69,1.2489,22,0.3982,19,0,0,12080,5478,99.1493,0.103812,11195,,28,28,0,0,0,0.5068,1890,1896,2,1807,2206,9,83,-310,-7,2660,3215,4,2837,3614,15,-177,-399,-11
TRLH1/1000310081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310081?gameHash=9b4ac773895f00d4,NA LCS,2014,Summer,1,2014-08-23 18:36:55,1,4.14,6,Red,top,ZionSpartan,Dignitas,Nasus,Zed,Nunu & Willump,Alistar,,,3315,1,2,1,0,6,15,0,0,0,0,0,0,0,0,0.1086,0.3801,,,,,,,,,,,,,,,,,,,,,,,,3,0,23296,421.6471,0.236052,29,0.5249,2,0.0362,1,0,0,19088,12486,225.991,0.22769,18513,,406,394,12,8,4,7.3484,2509,2766,58,2578,3870,63,-69,-1104,-5,4198,5574,105,4174,6560,117,24,-986,-12
TRLH1/1000310081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310081?gameHash=9b4ac773895f00d4,NA LCS,2014,Summer,1,2014-08-23 18:36:55,1,4.14,7,Red,jng,Crumbz,Dignitas,Kha'Zix,Zed,Nunu & Willump,Alistar,,,3315,1,0,4,2,6,15,0,0,0,0,0,0,0,0,0.1086,0.3801,,,,,,,,,,,,,,,,,,,,,,,,0,0,9579,173.3756,0.0970615,34,0.6154,16,0.2896,8,0,0,16436,9834,177.991,0.179327,15815,,227,51,176,143,33,4.1086,2444,3150,42,2335,3141,37,109,9,5,3968,5623,65,3433,5308,59,535,315,6
TRLH1/1000310081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310081?gameHash=9b4ac773895f00d4,NA LCS,2014,Summer,1,2014-08-23 18:36:55,1,4.14,8,Red,mid,Shiphtur,Dignitas,Ziggs,Zed,Nunu & Willump,Alistar,,,3315,1,4,0,2,6,15,1,0,0,0,0,0,0,0,0.1086,0.3801,,,,,,,,,,,,,,,,,,,,,,,,0,0,36737,664.9231,0.372246,6,0.1086,3,0.0543,2,0,0,21185,14583,263.9457,0.265932,19210,,518,444,74,73,1,9.3756,3039,5049,89,3225,5136,97,-186,-87,-8,4882,8080,145,4954,7784,157,-72,296,-12
TRLH1/1000310081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310081?gameHash=9b4ac773895f00d4,NA LCS,2014,Summer,1,2014-08-23 18:36:55,1,4.14,9,Red,bot,Imaqtpie,Dignitas,Corki,Zed,Nunu & Willump,Alistar,,,3315,1,0,2,6,6,15,0,0,0,0,0,0,0,0,0.1086,0.3801,,,,,,,,,,,,,,,,,,,,,,,,0,0,23959,433.6471,0.24277,16,0.2896,10,0.181,5,0,0,19800,13198,238.8778,0.240674,19118,,460,432,28,28,0,8.3258,2979,4232,86,3212,3093,73,-233,1139,13,4864,6497,144,4935,5527,131,-71,970,13
TRLH1/1000310081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310081?gameHash=9b4ac773895f00d4,NA LCS,2014,Summer,1,2014-08-23 18:36:55,1,4.14,10,Red,sup,KiWiKiD,Dignitas,Thresh,Zed,Nunu & Willump,Alistar,,,3315,1,0,8,5,6,15,0,0,0,0,0,0,0,1,0.1086,0.3801,,,,,,,,,,,,,,,,,,,,,,,,0,0,5119,92.6516,0.0518695,73,1.3213,8,0.1448,7,0,0,11339,4737,85.7376,0.0863765,10780,,40,40,0,0,0,0.724,1807,2206,9,1890,1896,2,-83,310,7,2837,3614,15,2660,3215,4,177,399,11
TRLH1/1000310081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310081?gameHash=9b4ac773895f00d4,NA LCS,2014,Summer,1,2014-08-23 18:36:55,1,4.14,100,Blue,team,,Team SoloMid,,Nidalee,Lulu,Ryze,,,3315,0,15,6,40,15,6,2,0,0,0,1,,,,0.2715,0.3801,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,3,1,5,8,1,1,0,3,93350,1689.5928,,139,2.5158,60,1.086,33,0,0,85776,52764,955.0045,,81553,-0.0228258,,1393,220,176,44,29.1946,13240,17136,272,12778,17403,284,462,-267,-12,20156,28394,468,20749,29388,474,-593,-994,-6
TRLH1/1000310081,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310081?gameHash=9b4ac773895f00d4,NA LCS,2014,Summer,1,2014-08-23 18:36:55,1,4.14,200,Red,team,,Dignitas,,Zed,Nunu & Willump,Alistar,,,3315,1,6,15,15,6,15,1,0,0,0,0,,,,0.1086,0.3801,1,0,0,0,0,0,0,0,0,,0,0,,,,1,3,0,0,8,5,0,0,3,0,98690,1786.2443,,158,2.8597,39,0.7059,23,0,0,87848,54836,992.5068,,83436,0.0228258,,1361,290,252,38,29.8824,12778,17403,284,13240,17136,272,-462,267,12,20749,29388,474,20156,28394,468,593,994,6
TRLH1/1000310094,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000310094?gameHash=63de99cb593219a0,NA LCS,2014,Summer,1,2014-08-23 20:36:03,2,4.14,1,Blue,top,Dyrus,Team SoloMid,Maokai,Nidalee,Ryze,Lulu,,,3980,1,2,7,6,16,20,0,0,0,0,0,0,0,0,0.2412,0.5276,,,,,,,,,,,,,,,,,,,,,,,,0,0,34733,523.6131,0.195932,21,0.3166,5,0.0754,1,0,0,19261,11395,171.7839,0.188743,20380,,366,347,19,15,4,5.5176,2548,2752,43,2028,2722,27,520,30,16,4290,5015,76,3267,4717,60,1023,298,16
