gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH3/1000430019,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000430019?gameHash=a5e39c76a8e91ba9&amp;tab=overview,WCS,2014,,0,2014-09-18 08:59:56,1,4.14,1,Blue,top,Korol,EDward Gaming,Maokai,Yasuo,Kassadin,Alistar,,,2637,0,0,6,6,11,20,0,0,0,0,0,0,0,1,0.2503,0.7053,,,,,,,,,,,,,,,,,,,,,,,,0,0,16719,380.4096,0.218173,12,0.273,4,0.091,8,0,0,13286,7972,181.3879,0.2109,12735,,322,313,9,7,2,7.3265,3040,4165,79,2775,4670,69,265,-505,10,4639,6401,117,4467,7412,106,172,-1011,11
TRLH3/1000430019,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000430019?gameHash=a5e39c76a8e91ba9&amp;tab=overview,WCS,2014,,0,2014-09-18 08:59:56,1,4.14,2,Blue,jng,Clearlove,EDward Gaming,Jarvan IV,Yasuo,Kassadin,Alistar,,,2637,0,2,3,7,11,20,0,0,0,0,0,0,0,0,0.2503,0.7053,,,,,,,,,,,,,,,,,,,,,,,,0,0,7212,164.0956,0.0941121,45,1.0239,19,0.4323,4,0,0,11185,5871,133.5836,0.155316,10220,,131,36,95,91,4,2.9807,2235,2705,31,2803,3678,45,-568,-973,-14,3520,4970,46,4192,5447,56,-672,-477,-10
TRLH3/1000430019,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000430019?gameHash=a5e39c76a8e91ba9&amp;tab=overview,WCS,2014,,0,2014-09-18 08:59:56,1,4.14,3,Blue,mid,U,EDward Gaming,Orianna,Yasuo,Kassadin,Alistar,,,2637,0,4,4,3,11,20,1,0,0,0,0,0,0,0,0.2503,0.7053,,,,,,,,,,,,,,,,,,,,,,,,0,1,16269,370.1706,0.2123,15,0.3413,5,0.1138,4,0,0,14217,8903,202.5711,0.235531,13165,,320,276,44,40,4,7.281,3168,4264,86,2697,4559,64,471,-295,22,5533,7280,134,4348,7386,117,1185,-106,17
TRLH3/1000430019,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000430019?gameHash=a5e39c76a8e91ba9&amp;tab=overview,WCS,2014,,0,2014-09-18 08:59:56,1,4.14,4,Blue,bot,NaMei,EDward Gaming,Lucian,Yasuo,Kassadin,Alistar,,,2637,0,4,4,5,11,20,1,0,0,0,0,0,0,0,0.2503,0.7053,,,,,,,,,,,,,,,,,,,,,,,,0,1,29873,679.7042,0.389824,11,0.2503,11,0.2503,2,0,0,16813,11499,261.6382,0.30421,15865,,380,335,45,37,8,8.6462,3073,3086,79,3042,3536,79,31,-450,0,5129,5628,134,5481,6248,131,-352,-620,3
TRLH3/1000430019,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000430019?gameHash=a5e39c76a8e91ba9&amp;tab=overview,WCS,2014,,0,2014-09-18 08:59:56,1,4.14,5,Blue,sup,FZZF,EDward Gaming,Thresh,Yasuo,Kassadin,Alistar,,,2637,0,1,3,9,11,20,0,0,0,0,0,0,0,0,0.2503,0.7053,,,,,,,,,,,,,,,,,,,,,,,,0,0,6559,149.2378,0.0855909,55,1.2514,11,0.2503,11,0,0,8869,3555,80.8874,0.0940434,8665,,42,42,0,0,0,0.9556,2004,2714,14,2218,3313,4,-214,-599,10,3514,4870,20,3544,4806,5,-30,64,15
TRLH3/1000430019,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000430019?gameHash=a5e39c76a8e91ba9&amp;tab=overview,WCS,2014,,0,2014-09-18 08:59:56,1,4.14,6,Red,top,Looper,Samsung White,Rumble,Twitch,Ryze,Janna,,,2637,1,3,3,10,20,11,0,0,0,0,1,0,1,0,0.4551,0.7053,,,,,,,,,,,,,,,,,,,,,,,,0,0,26117,594.2435,0.273479,18,0.4096,5,0.1138,8,0,0,15187,9873,224.6416,0.180233,13155,,267,263,4,4,0,6.0751,2775,4670,69,3040,4165,79,-265,505,-10,4467,7412,106,4639,6401,117,-172,1011,-11
TRLH3/1000430019,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000430019?gameHash=a5e39c76a8e91ba9&amp;tab=overview,WCS,2014,,0,2014-09-18 08:59:56,1,4.14,7,Red,jng,DanDy,Samsung White,Kha'Zix,Twitch,Ryze,Janna,,,2637,1,3,1,9,20,11,0,0,0,0,1,1,0,0,0.4551,0.7053,,,,,,,,,,,,,,,,,,,,,,,,0,0,16714,380.2958,0.175018,16,0.3641,15,0.3413,5,0,0,15662,10348,235.4494,0.188904,13890,,198,65,133,102,31,4.5051,2803,3678,45,2235,2705,31,568,973,14,4192,5447,56,3520,4970,46,672,477,10
TRLH3/1000430019,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000430019?gameHash=a5e39c76a8e91ba9&amp;tab=overview,WCS,2014,,0,2014-09-18 08:59:56,1,4.14,8,Red,mid,PawN,Samsung White,Zilean,Twitch,Ryze,Janna,,,2637,1,2,4,10,20,11,0,0,0,0,1,0,1,0,0.4551,0.7053,,,,,,,,,,,,,,,,,,,,,,,,1,0,18614,423.5267,0.194913,14,0.3185,11,0.2503,5,0,0,16868,11554,262.8896,0.210921,15505,,350,332,18,15,3,7.9636,2697,4559,64,3168,4264,86,-471,295,-22,4348,7386,117,5533,7280,134,-1185,106,-17
TRLH3/1000430019,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000430019?gameHash=a5e39c76a8e91ba9&amp;tab=overview,WCS,2014,,0,2014-09-18 08:59:56,1,4.14,9,Red,bot,imp,Samsung White,Tristana,Twitch,Ryze,Janna,,,2637,1,9,2,7,20,11,2,2,0,0,0,0,0,0,0.4551,0.7053,,,,,,,,,,,,,,,,,,,,,,,,1,0,26821,610.2617,0.280851,12,0.273,8,0.182,2,0,0,21101,15787,359.2036,0.288197,18430,,411,362,49,32,17,9.3515,3042,3536,79,3073,3086,79,-31,450,0,5481,6248,131,5129,5628,134,352,620,-3
TRLH3/1000430019,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000430019?gameHash=a5e39c76a8e91ba9&amp;tab=overview,WCS,2014,,0,2014-09-18 08:59:56,1,4.14,10,Red,sup,Mata,Samsung White,Nami,Twitch,Ryze,Janna,,,2637,1,3,1,14,20,11,0,0,0,0,0,0,0,0,0.4551,0.7053,,,,,,,,,,,,,,,,,,,,,,,,0,0,7233,164.5734,0.075739,84,1.9113,19,0.4323,19,0,0,12531,7217,164.2093,0.131746,10960,,27,27,0,0,0,0.6143,2218,3313,4,2004,2714,14,214,599,-10,3544,4806,5,3514,4870,20,30,-64,-15
